sub_num,list,practice,target,study_order,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score
1,0,C,sweat,1,NaN,NaN,NaN,NaN,,NaN
1,0,C,sheep,2,NaN,NaN,NaN,NaN,,NaN
1,0,C,partner,3,NaN,NaN,NaN,NaN,,NaN
1,0,C,mole,4,NaN,NaN,NaN,NaN,,NaN
1,0,C,hill,5,NaN,NaN,NaN,NaN,,NaN
1,0,C,straw,6,NaN,NaN,NaN,NaN,,NaN
1,0,C,mate,7,NaN,NaN,NaN,NaN,,NaN
1,0,C,meat,8,NaN,NaN,NaN,NaN,,NaN
1,0,C,ocean,9,NaN,NaN,NaN,NaN,,NaN
1,0,C,orange,10,NaN,NaN,NaN,NaN,,NaN
1,0,C,morgue,11,NaN,NaN,NaN,NaN,,NaN
1,0,C,colonel,12,NaN,NaN,NaN,NaN,,NaN
1,0,C,bush,13,NaN,NaN,NaN,NaN,,NaN
1,0,C,horse,14,NaN,NaN,NaN,NaN,,NaN
1,0,C,root,15,NaN,NaN,NaN,NaN,,NaN
1,1,S,ribbon,16,1,2764734.10015971,NaN,NaN,,NaN
1,1,S,cart,17,2,2764738.11657595,NaN,NaN,,NaN
1,1,S,port,18,3,2764742.13298192,NaN,NaN,,NaN
1,1,S,laundry,19,4,2764746.14937764,NaN,NaN,,NaN
1,1,S,monk,20,5,2764750.1657975,NaN,NaN,,NaN
1,1,S,sword,21,6,2764754.18220468,NaN,NaN,,NaN
1,1,S,cream,22,7,2764758.19862545,NaN,NaN,,NaN
1,1,S,anchor,23,8,2764762.21501603,NaN,NaN,,NaN
1,1,S,steel,24,9,2764766.23141718,NaN,NaN,,NaN
1,1,S,stove,25,10,2764770.24781742,NaN,NaN,,NaN
1,1,S,fly,26,11,2764774.26422974,NaN,NaN,,NaN
1,1,S,lane,27,12,2764778.28062817,NaN,NaN,,NaN
1,1,S,lion,28,13,2764782.2970438,NaN,NaN,,NaN
1,1,S,sand,29,14,2764786.3134531,NaN,NaN,,NaN
1,1,S,stain,30,15,2764790.32986119,NaN,NaN,,NaN
1,2,T,telephone,31,1,2765004.13266015,2765007.26725243,2765008.36317059,bucket,NaN
1,2,T,ball,32,2,2765009.31566654,2765009.49912268,2765010.37909391,bridge,NaN
1,2,T,shoulder,33,3,2765010.93224868,2765011.27505004,2765011.85099152,city,NaN
1,2,T,automobile,34,4,2765012.23215489,2765015.12283414,2765016.24275756,carpet,NaN
1,2,T,clock,35,5,2765016.71517978,2765017.85065043,2765018.96263831,jewel,NaN
1,2,T,reed,36,6,2765019.33167801,2765021.82650963,2765022.49045877,candy,NaN
1,2,T,portrait,37,7,2765022.89810528,2765024.94632409,2765025.64229375,ball,NaN
1,2,T,clay,38,8,2765025.98123871,2765029.07411063,2765030.80201386,portrait,NaN
1,2,T,bucket,39,9,2765031.06425413,2765032.04995655,2765033.44989872,shoulder,NaN
1,2,T,bridge,40,10,2765033.71375205,2765035.68172218,2765037.57763545,powder,NaN
1,2,T,city,41,11,2765037.83047952,2765044.06531572,2765044.80927267,clock,NaN
1,2,T,candy,42,12,2765045.1133166,2765049.00906476,2765051.75289554,automobile\,NaN
1,2,T,jewel,43,13,2765051.86292503,2765059.0005554,2765061.6163805,telephone,NaN
1,2,T,powder,44,14,2765061.84559088,2765073.08780119,2765073.63175054,clay,NaN
1,2,T,carpet,45,15,2765074.17810953,2765078.68749047,2765079.4314438,reed,NaN
1,3,S,spring,46,1,2765304.19652761,NaN,NaN,,NaN
1,3,S,mountain,47,2,2765308.21292997,NaN,NaN,,NaN
1,3,S,beach,48,3,2765312.22933746,NaN,NaN,,NaN
1,3,S,marble,49,4,2765316.24573196,NaN,NaN,,NaN
1,3,S,canal,50,5,2765320.26214971,NaN,NaN,,NaN
1,3,S,racket,51,6,2765324.27855871,NaN,NaN,,NaN
1,3,S,alley,52,7,2765328.29496378,NaN,NaN,,NaN
1,3,S,chin,53,8,2765332.31136824,NaN,NaN,,NaN
1,3,S,button,54,9,2765336.3277715,NaN,NaN,,NaN
1,3,S,organ,55,10,2765340.34419891,NaN,NaN,,NaN
1,3,S,jail,56,11,2765344.36058587,NaN,NaN,,NaN
1,3,S,sack,57,12,2765348.37699185,NaN,NaN,,NaN
1,3,S,key,58,13,2765352.39339601,NaN,NaN,,NaN
1,3,S,trophy,59,14,2765356.40979052,NaN,NaN,,NaN
1,3,S,fountain,60,15,2765360.42620374,NaN,NaN,,NaN
1,4,T,lung,61,1,2765575.1289577,2765576.9091577,2765578.9490383,chocolate,NaN
1,4,T,saddle,62,2,2765579.24533051,2765579.6529758,2765581.0769332,football,NaN
1,4,T,journal,63,3,2765581.4451896,2765581.83688713,2765583.02081988,admiral,NaN
1,4,T,brat,64,4,2765583.91169774,2765586.20462194,2765587.116601,saddle,NaN
1,4,T,chocolate,65,5,2765587.51143562,2765588.57253031,2765588.95650841,brat,NaN
1,4,T,maiden,66,6,2765589.42800003,2765589.74844119,2765590.91638301,journal,NaN
1,4,T,thunder,67,7,2765591.29453697,2765591.43635545,2765592.00429468,nail,NaN
1,4,T,shrimp,68,8,2765592.34447208,2765596.66809802,2765597.25203603,club,NaN
1,4,T,blade,69,9,2765597.56080115,2765600.45992516,2765601.20384438,blade,NaN
1,4,T,throne,70,10,2765601.62716488,2765601.84382598,2765602.67578425,throne,NaN
1,4,T,picture,71,11,2765602.94378134,2765608.26749391,2765609.53940655,thunder,NaN
1,4,T,nail,72,12,2765609.77667624,2765610.10738471,2765611.2753214,shrimp,NaN
1,4,T,club,73,13,2765612.74314619,2765618.90694426,2765620.10686825,picture,NaN
1,4,T,admiral,74,14,2765620.37599093,2765628.81842376,2765629.61836062,maiden,NaN
1,4,T,football,75,15,2765629.97536659,2765636.18604508,2765636.98597167,lung,NaN
1,5,S,forehead,76,1,2765877.54260281,NaN,NaN,,NaN
1,5,S,sugar,77,2,2765881.55900094,NaN,NaN,,NaN
1,5,S,chicken,78,3,2765885.57541778,NaN,NaN,,NaN
1,5,S,priest,79,4,2765889.59181832,NaN,NaN,,NaN
1,5,S,tiger,80,5,2765893.60823003,NaN,NaN,,NaN
