sub_num,list,practice,target,study_order,final_order,final_onset,final_FP,final_LP,final_resp,final_score
19,0,C,axe,1,NaN,2860958.4337644,2860962.17103545,2860962.85097281,axe,NaN
19,0,C,choir,2,NaN,2860963.70012336,2860964.88288707,2860965.97874606,choir,NaN
19,0,C,barn,3,NaN,2860966.34986216,2860966.63477535,2860968.94664405,lightining,NaN
19,0,C,lightning,4,NaN,2860969.64970348,2860970.70656055,2860971.41051103,barn,NaN
19,0,C,radio,5,NaN,2860971.93288708,2860972.21847339,2860973.19442103,radio,NaN
19,0,C,pork,6,NaN,2860973.94938573,2860974.46633518,2860975.04232586,lane,NaN
19,0,C,board,7,NaN,2860975.38265842,2860975.66628694,2860976.37025553,plane,NaN
19,0,C,lane,8,NaN,2860976.7325562,2860980.90602755,2860981.48996375,roof,NaN
19,0,C,palace,9,NaN,2860981.89888314,2860986.12974673,2860987.08162722,radio,NaN
19,0,C,plane,10,NaN,2860987.44853014,2860992.23340937,2860993.08933397,peach,NaN
19,0,C,roof,11,NaN,2860993.78147681,NaN,2861048.52194049,,NaN
19,0,C,peach,12,NaN,0,0,0,,NaN
19,0,C,sword,13,NaN,0,0,0,,NaN
19,0,C,river,14,NaN,0,0,0,,NaN
19,0,C,tape,15,NaN,0,0,0,,NaN
19,1,S,cigar,16,NaN,2861230.64935726,2861231.23679428,2861232.86865228,carpet,NaN
19,1,S,hill,17,NaN,2861233.59915954,2861234.01263712,2861235.86054377,corner,NaN
19,1,S,corner,18,NaN,2861236.09899699,2861236.70046324,2861237.54841124,cherry,NaN
19,1,S,strawberry,19,NaN,2861237.98221187,2861238.12439438,2861240.90021428,strawberry,NaN
19,1,S,sponge,20,NaN,2861241.43198803,2861242.23619783,2861243.03609876,drum,NaN
19,1,S,cherry,21,NaN,2861243.58184742,2861244.42808244,2861244.89202578,net,NaN
19,1,S,carpet,22,NaN,2861245.26507853,2861245.87602398,2861247.68389276,badge,NaN
19,1,S,drum,23,NaN,2861248.34820683,2861249.23584497,2861250.39574499,reed,NaN
19,1,S,snow,24,NaN,2861251.09801841,2861255.66747109,2861256.27543489,port,NaN
19,1,S,port,25,NaN,2861256.94762868,2861257.51539524,2861258.28331853,duck,NaN
19,1,S,net,26,NaN,2861258.69752386,2861262.19516417,2861263.76306959,sponge,NaN
19,1,S,desk,27,NaN,2861264.38049206,2861266.50692301,2861267.2108762,hill,NaN
19,1,S,duck,28,NaN,2861267.56361225,2861268.99479103,2861269.66671828,snow,NaN
19,1,S,badge,29,NaN,2861270.04677297,NaN,2861320.74798691,,NaN
19,1,S,reed,30,NaN,0,0,0,,NaN
19,2,T,patch,31,NaN,2861534.06292389,2861540.24445485,2861541.10040149,patch,NaN
19,2,T,lawyer,32,NaN,2861541.66242934,2861542.5963258,2861543.63626345,thumb,NaN
19,2,T,thumb,33,NaN,2861543.87893861,2861546.07612636,2861547.16407395,lawyer,NaN
19,2,T,parade,34,NaN,2861547.42870515,2861547.81201737,2861548.35600384,fork,NaN
19,2,T,fork,35,NaN,2861549.14529003,2861550.29993006,2861550.91586383,beef,NaN
19,2,T,beef,36,NaN,2861551.52844619,2861558.26750719,2861559.30742673,ridge,NaN
19,2,T,cell,37,NaN,2861559.67792042,2861560.33936182,2861561.20333577,brush,NaN
19,2,T,window,38,NaN,2861561.66111057,2861562.29927928,2861562.95524669,bush,NaN
19,2,T,pier,39,NaN,2861563.39434713,NaN,2861624.09543943,,NaN
19,2,T,ridge,40,NaN,0,0,0,,NaN
19,2,T,bush,41,NaN,0,0,0,,NaN
19,2,T,gift,42,NaN,0,0,0,,NaN
19,2,T,smoke,43,NaN,0,0,0,,NaN
19,2,T,bucket,44,NaN,0,0,0,,NaN
19,2,T,hotel,45,NaN,0,0,0,,NaN
19,3,S,tail,46,NaN,2861806.34515305,2861809.48621783,2861811.79805967,chicken,NaN
19,3,S,suitcase,47,NaN,2861812.27812978,2861812.91800453,2861814.01397551,castle,NaN
19,3,S,costume,48,NaN,2861814.52799674,2861815.28588936,2861815.89386674,tail,NaN
19,3,S,stake,49,NaN,2861816.26120312,2861816.58184138,2861818.09375241,costume,NaN
19,3,S,flood,50,NaN,2861818.44438729,2861822.22956173,2861823.88543375,suitcase,NaN
19,3,S,spider,51,NaN,2861824.17729273,2861825.6373335,2861826.82927093,spider,NaN
19,3,S,shower,52,NaN,2861827.09384537,2861827.43724258,2861828.51716497,shower,NaN
19,3,S,chicken,53,NaN,2861828.777046,2861829.34913471,2861830.21308663,ankle,NaN
19,3,S,castle,54,NaN,2861830.46026927,2861833.22096513,2861835.08482921,messenger,NaN
19,3,S,passenger,55,NaN,2861835.84325217,2861836.5807979,2861838.30069011,passenger,NaN
19,3,S,spike,56,NaN,2861838.64307251,2861840.43657973,2861841.26051038,spike,NaN
19,3,S,ankle,57,NaN,2861841.54288352,2861879.89850251,2861880.43446801,clay,NaN
19,3,S,clay,58,NaN,2861881.00697568,2861883.64229495,2861885.27418766,stick,NaN
19,3,S,stick,59,NaN,2861885.7066662,NaN,2861896.40749407,,NaN
19,3,S,messenger,60,NaN,0,0,0,,NaN
19,4,T,pound,61,NaN,2862107.29219403,2862109.08640515,2862110.01430633,storm,NaN
19,4,T,milk,62,NaN,2862110.37535192,2862110.83027125,2862111.81419579,milk,NaN
19,4,T,storm,63,NaN,2862112.55852311,2862114.63005929,2862115.86198478,gallon,NaN
19,4,T,gallery,64,NaN,2862116.27497518,2862116.69397897,2862118.13390708,necklace,NaN
19,4,T,maiden,65,NaN,2862118.85815555,2862120.50978753,2862121.90169092,matress,NaN
19,4,T,hostage,66,NaN,2862122.19125677,2862123.73357916,2862124.64555671,clock,NaN
19,4,T,porch,67,NaN,2862125.07435664,2862126.6694666,2862127.94936067,shrimp,NaN
19,4,T,frame,68,NaN,2862128.4908391,2862128.861334,2862133.07710555,balloon,NaN
19,4,T,shrimp,69,NaN,2862133.6071621,2862135.38101426,2862136.18894734,porch,NaN
19,4,T,balloon,70,NaN,2862136.69031938,2862137.50087007,2862138.10883418,beam,NaN
19,4,T,scale,71,NaN,2862138.84017846,NaN,2862195.49399763,,NaN
19,4,T,mattress,72,NaN,2862195.50313845,NaN,2862197.3038912,,NaN
19,4,T,clock,73,NaN,0,0,0,,NaN
19,4,T,necklace,74,NaN,0,0,0,,NaN
19,4,T,beam,75,NaN,0,0,0,,NaN
19,5,S,hawk,76,NaN,2862381.77432938,2862382.63995836,2862387.73563353,witch,NaN
19,5,S,seal,77,NaN,2862388.24056917,2862388.83156768,2862389.47155652,seal,NaN
19,5,S,rabbit,78,NaN,2862389.84045979,2862390.34351583,2862391.51145463,hawk,NaN
19,5,S,witch,79,NaN,2862391.95700947,2862392.88734836,2862393.86332679,bear,NaN
19,5,S,aisle,80,NaN,2862394.39017893,2862395.12726042,2862396.11920654,seed,NaN
19,5,S,basket,81,NaN,2862396.40670474,2862396.77517425,2862397.85508185,steak,NaN
19,5,S,chapel,82,NaN,2862398.43990698,2862399.58303428,2862400.46300158,chapel,NaN
19,5,S,pipe,83,NaN,2862400.87308369,2862402.95884983,2862409.08648695,whistle,NaN
19,5,S,highway,84,NaN,2862409.75582134,2862412.73431627,2862414.87821931,basket,NaN
19,5,S,cloud,85,NaN,2862415.30550879,2862417.80604714,2862420.83789439,aisle,NaN
19,5,S,whistle,86,NaN,2862421.5384017,2862425.18167041,2862427.50154953,skiing,NaN
19,5,S,ski,87,NaN,2862428.22129535,NaN,2862471.82208245,,NaN
19,5,S,seed,88,NaN,0,0,0,,NaN
19,5,S,bear,89,NaN,0,0,0,,NaN
19,5,S,steak,90,NaN,0,0,0,,NaN
19,6,T,sock,91,NaN,2862684.8545512,2862685.87191826,2862688.49573566,forehead,NaN
19,6,T,forehead,92,NaN,2862689.25430984,2862689.95964218,2862690.7355961,child,NaN
19,6,T,dummy,93,NaN,2862691.08748607,2862691.39151762,2862691.91153052,sock,NaN
19,6,T,child,94,NaN,2862692.30406778,2862692.95151827,2862693.76748742,dummy,NaN
19,6,T,cross,95,NaN,2862694.03729528,2862699.23116272,2862699.86312757,weed,NaN
19,6,T,fort,96,NaN,2862700.12021863,2862712.61447585,2862713.59840884,screw,NaN
19,6,T,screw,97,NaN,2862714.11928895,NaN,2862774.92055393,,NaN
19,6,T,cart,98,NaN,0,0,0,,NaN
19,6,T,steel,99,NaN,0,0,0,,NaN
19,6,T,beast,100,NaN,0,0,0,,NaN
19,6,T,lion,101,NaN,0,0,0,,NaN
19,6,T,shop,102,NaN,0,0,0,,NaN
19,6,T,picture,103,NaN,0,0,0,,NaN
19,6,T,weed,104,NaN,0,0,0,,NaN
19,6,T,seat,105,NaN,0,0,0,,NaN
19,7,S,orange,106,NaN,2862954.2703373,2862955.17768483,2862956.19358219,coal,NaN
