subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
78,delay,1,shower,hockey,S,NaN,828600.116483681,,NaN,NaN,1
78,delay,1,fly,cream,S,1,828604.616172928,,NaN,NaN,1
78,delay,1,truck,cup,S,NaN,828609.115892058,,NaN,NaN,1
78,delay,1,net,spoon,S,1,828613.615612093,,NaN,NaN,1
78,delay,2,colonel,bomb,S,1,828821.419387555,,NaN,NaN,1
78,delay,2,costume,bow,S,NaN,828825.919116948,,NaN,NaN,1
78,delay,2,choir,island,S,NaN,828830.418817363,,NaN,NaN,1
78,delay,2,coast,satellite,S,1,828834.918586902,,NaN,NaN,1
78,delay,3,dough,camp,S,1,828978.309683394,,NaN,NaN,1
78,delay,3,crab,station,S,NaN,828982.809411881,,NaN,NaN,1
78,delay,3,moose,cell,S,1,828987.309131011,,NaN,NaN,1
78,delay,3,bedroom,drug,S,NaN,828991.808851348,,NaN,NaN,1
78,delay,4,cent,knife,S,NaN,829175.114190537,,NaN,NaN,1
78,delay,4,shell,mate,S,1,829179.613902724,,NaN,NaN,1
78,delay,4,seat,monk,S,NaN,829184.113616119,,NaN,NaN,1
78,delay,4,mail,goat,S,1,829188.613345814,,NaN,NaN,1
78,delay,5,herd,cane,S,1,829332.95442901,,NaN,NaN,1
78,delay,5,glove,magazine,S,NaN,829337.454153875,,NaN,NaN,1
78,delay,5,marble,gown,S,1,829341.953876928,,NaN,NaN,1
78,delay,5,nose,bird,S,NaN,829346.453600586,,NaN,NaN,1
78,delay,6,rabbi,movie,S,1,829842.006346367,,NaN,NaN,1
78,delay,6,beam,lightning,S,NaN,829846.506077269,,NaN,NaN,1
78,delay,6,boss,canal,S,NaN,829851.005792173,,NaN,NaN,1
78,delay,6,morgue,alley,S,1,829855.505497116,,NaN,NaN,1
78,delay,7,mule,shark,S,NaN,829999.26330194,,NaN,NaN,1
78,delay,7,toast,child,S,1,830003.763020466,,NaN,NaN,1
78,delay,7,highway,brat,S,NaN,830008.262748048,,NaN,NaN,1
78,delay,7,hook,patch,S,1,830012.762470196,,NaN,NaN,1
78,delay,8,pool,ground,S,NaN,830195.684498474,,NaN,NaN,1
78,delay,8,honeymoon,butter,S,1,830200.184220924,,NaN,NaN,1
78,delay,8,page,butterfly,S,1,830204.68394428,,NaN,NaN,1
78,delay,8,card,desk,S,NaN,830209.183659486,,NaN,NaN,1
78,delay,9,trophy,candle,S,NaN,830343.642050409,,NaN,NaN,1
78,delay,9,court,fort,S,1,830348.141751126,,NaN,NaN,1
78,delay,9,blanket,bench,S,1,830352.641452145,,NaN,NaN,1
78,delay,9,soil,scar,S,NaN,830357.141212327,,NaN,NaN,1
78,delay,10,toothbrush,trail,S,NaN,830516.164684377,,NaN,NaN,1
78,delay,10,aisle,rocket,S,1,830520.664417693,,NaN,NaN,1
78,delay,10,pepper,circle,S,1,830525.16412324,,NaN,NaN,1
78,delay,10,passenger,flesh,S,NaN,830529.663861085,,NaN,NaN,1
78,delay,1,shower,hockey,S,NaN,828653.063156691,,NaN,NaN,2
78,delay,1,fly,cream,S,1,828657.562874009,,NaN,NaN,2
78,delay,1,truck,cup,S,NaN,828662.06262423,,NaN,NaN,2
78,delay,1,net,spoon,S,1,828666.562324343,,NaN,NaN,2
78,delay,2,colonel,bomb,S,1,828862.250175148,,NaN,NaN,2
78,delay,2,costume,bow,S,NaN,828866.749919331,,NaN,NaN,2
78,delay,2,choir,island,S,NaN,828871.249640272,,NaN,NaN,2
78,delay,2,coast,satellite,S,1,828875.749449051,,NaN,NaN,2
78,delay,3,dough,camp,S,1,829019.173844878,,NaN,NaN,2
78,delay,3,crab,station,S,NaN,829023.673552538,,NaN,NaN,2
78,delay,3,moose,cell,S,1,829028.17327046,,NaN,NaN,2
78,delay,3,bedroom,drug,S,NaN,829032.673020077,,NaN,NaN,2
78,delay,4,cent,knife,S,NaN,829216.894932535,,NaN,NaN,2
78,delay,4,shell,mate,S,1,829221.394657702,,NaN,NaN,2
78,delay,4,seat,monk,S,NaN,829225.894379247,,NaN,NaN,2
78,delay,4,mail,goat,S,1,829230.394111658,,NaN,NaN,2
78,delay,5,herd,cane,S,1,829374.16854985,,NaN,NaN,2
78,delay,5,glove,magazine,S,NaN,829378.668274111,,NaN,NaN,2
78,delay,5,marble,gown,S,1,829383.167993845,,NaN,NaN,2
78,delay,5,nose,bird,S,NaN,829387.667717502,,NaN,NaN,2
78,delay,6,rabbi,movie,S,1,829883.203814823,,NaN,NaN,2
78,delay,6,beam,lightning,S,NaN,829887.703487166,,NaN,NaN,2
78,delay,6,boss,canal,S,NaN,829892.203208711,,NaN,NaN,2
78,delay,6,morgue,alley,S,1,829896.702973118,,NaN,NaN,2
78,delay,7,mule,shark,S,NaN,830046.310401794,,NaN,NaN,2
78,delay,7,toast,child,S,1,830050.81012032,,NaN,NaN,2
78,delay,7,highway,brat,S,NaN,830055.309847901,,NaN,NaN,2
78,delay,7,hook,patch,S,1,830059.809591179,,NaN,NaN,2
78,delay,8,pool,ground,S,NaN,830227.5825319,,NaN,NaN,2
78,delay,8,honeymoon,butter,S,1,830232.082253445,,NaN,NaN,2
78,delay,8,page,butterfly,S,1,830236.581996723,,NaN,NaN,2
78,delay,8,card,desk,S,NaN,830241.081696232,,NaN,NaN,2
78,delay,9,trophy,candle,S,NaN,830378.039888388,,NaN,NaN,2
78,delay,9,court,fort,S,1,830382.539616876,,NaN,NaN,2
78,delay,9,blanket,bench,S,1,830387.039332685,,NaN,NaN,2
78,delay,9,soil,scar,S,NaN,830391.539059361,,NaN,NaN,2
78,delay,10,toothbrush,trail,S,NaN,830547.096114937,,NaN,NaN,2
78,delay,10,aisle,rocket,S,1,830551.595835878,,NaN,NaN,2
78,delay,10,pepper,circle,S,1,830556.095588513,,NaN,NaN,2
78,delay,10,passenger,flesh,S,NaN,830560.595298587,,NaN,NaN,2
