subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
84,delay,1,thread,garlic,T,1,115248.0312362,bread,115254.035211244,115255.019160746
84,delay,1,toothbrush,rope,,1,115255.180215695,pipe,115257.642975877,115258.242959758
84,delay,1,knife,pudding,S,1,115258.69654163,pudding,115260.234963789,115261.066893576
84,delay,1,star,cross,,1,115261.279621083,strike,115265.482679172,115267.050591337
84,delay,1,soldier,avenue,,1,115267.229043028,avenue,115268.7224825,115269.554423757
84,delay,1,trophy,plug,,1,115269.795460137,,NaN,NaN
84,delay,1,vault,gorilla,T,1,115277.828011189,case,115281.289896312,115281.817888394
84,delay,1,dirt,pigeon,,1,115281.994299891,pudding,115284.225790911,115286.22567802
84,delay,1,bush,bolt,,1,115287.760378385,brush,115292.313461331,115293.401304107
84,delay,1,whale,smoke,S,1,115293.776466313,smoke,115295.225276259,115295.745222567
84,delay,2,book,flesh,,1,115305.992259696,break,115308.320610314,115311.992506608
84,delay,2,ferry,pound,T,1,115312.907925005,pound,115318.256194613,115320.120030704
84,delay,2,diamond,elbow,,1,115320.357195271,elbow,115327.023785972,115328.831720607
84,delay,2,monkey,lunch,S,1,115329.356314175,lunch,115332.991530732,115333.711446914
84,delay,2,scratch,light,,1,115334.239177595,tongue,115336.343374227,115337.071315357
84,delay,2,cabin,missile,,1,115337.372226728,camp,115343.703003303,115344.918932518
84,delay,2,belly,steam,,1,115345.438072286,smoke,115351.926624828,115353.198495043
84,delay,2,breast,fence,T,1,115353.370630553,fence,115359.318274005,115361.230126967
84,delay,2,forehead,shell,S,1,115362.11976719,shell,115369.76580834,115371.501704388
84,delay,2,dice,vice,,1,115371.835480433,,NaN,NaN
84,delay,3,hand,scar,,1,115389.884048478,,NaN,NaN
84,delay,3,herd,fountain,,1,115397.916271119,smoke,115402.524246442,115402.98820436
84,delay,3,note,moose,,1,115403.515692958,,NaN,NaN
84,delay,3,music,television,S,1,115411.548237974,shell,115413.899688462,115419.139457983
84,delay,3,apple,army,T,1,115419.447455552,fence,115427.971059661,115429.570973211
84,delay,3,pepper,prisoner,,1,115430.263056839,,NaN,NaN
84,delay,3,mouth,sock,T,1,115438.29559129,,NaN,NaN
84,delay,3,artist,toe,S,1,115447.328054202,money,115449.554013847,115450.034017735
84,delay,3,skin,colonel,,1,115450.56105356,,NaN,NaN
84,delay,3,forest,dust,,1,115458.593587106,,NaN,NaN
