subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
43,delay,1,mayor,film,T,1,1885867.53524279,film,1885870.02513705,1885870.55308385,1
43,delay,1,pier,tent,T,NaN,1885871.55124831,tent,1885874.03294285,1885874.64088829,1
43,delay,1,dirt,cream,T,1,1885875.96753407,cream,1885877.5207948,1885878.3766965,1
43,delay,1,finger,soil,T,NaN,1885879.58387664,dirt,1885882.48055204,1885882.98449374,1
43,delay,2,wine,snow,T,NaN,1886065.78475991,snow,1886067.64788846,1886068.0958149,1
43,delay,2,brush,dentist,T,1,1886068.6675213,dentist,1886070.09574125,1886071.17568706,1
43,delay,2,poison,giant,T,1,1886072.08389097,,NaN,NaN,1
43,delay,2,physician,fountain,T,NaN,1886084.11617791,leather,1886086.83099798,1886089.87880537,1
43,delay,3,gentleman,storm,T,NaN,1886228.05391137,,NaN,NaN,1
43,delay,3,menu,arm,T,1,1886236.08619257,arm,1886237.67991822,1886238.15186849,1
43,delay,3,beam,feast,T,NaN,1886238.43597323,feast,1886244.23160331,1886244.83955207,1
43,delay,3,radio,partner,T,1,1886245.48536562,partner,1886248.0874383,1886249.26334933,1
43,delay,4,court,army,T,NaN,1886427.08624539,army,1886428.59897541,1886429.25495643,1
43,delay,4,apple,robin,T,1,1886429.65234979,robin,1886431.62282869,1886432.27078597,1
43,delay,4,emperor,scratch,T,1,1886432.65208054,branch,1886434.86266733,1886437.59853531,1
43,delay,4,ambassador,bullet,T,NaN,1886438.08493205,bullet,1886440.4464027,1886441.39035485,1
43,delay,5,ocean,market,T,NaN,1886584.27222579,market,1886585.75966934,1886586.73557005,1
43,delay,5,pigeon,laundry,T,1,1886587.18831822,,NaN,NaN,1
43,delay,5,wreck,aspirin,T,1,1886595.22091153,,NaN,NaN,1
43,delay,5,passenger,bench,T,NaN,1886603.25353352,,NaN,NaN,1
43,delay,6,bread,pool,T,NaN,1887112.14029531,pool,1887114.43893467,1887115.79881367,1
43,delay,6,lane,avenue,T,1,1887116.35626286,avenue,1887118.50268691,1887119.53463698,1
43,delay,6,leopard,prince,T,NaN,1887119.95593252,prince,1887122.14254257,1887124.62236233,1
43,delay,6,thorn,shrimp,T,1,1887125.13877399,shrimp,1887127.66225314,1887128.73419,1
43,delay,7,brain,cotton,T,1,1887266.29269626,cotton,1887270.11163177,1887271.36749887,1
43,delay,7,cheese,organ,T,NaN,1887271.82520551,organ,1887273.31943039,1887273.99941411,1
43,delay,7,briefcase,path,T,1,1887274.2749545,passage,1887275.99132276,1887279.02316688,1
43,delay,7,bee,hook,T,NaN,1887280.30773526,mansion,1887286.82280581,1887288.57473968,1
43,delay,8,table,building,T,1,1887474.54034614,building,1887477.02991893,1887478.58986441,1
43,delay,8,cottage,sponge,T,NaN,1887479.02294381,soap,1887484.66156039,1887485.85347906,1
43,delay,8,chart,tide,T,NaN,1887486.57226875,tide,1887488.16537742,1887488.98131678,1
43,delay,8,sugar,nurse,T,1,1887489.12205098,prisoner,1887494.19707092,1887498.52488032,1
43,delay,9,medicine,button,T,NaN,1887644.10846085,button,1887646.06998602,1887646.96594031,1
