subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
63,delay,1,whale,satellite,,1,2487933.32294648,ocean,2487939.08237369,2487939.50634678
63,delay,1,truck,cell,,1,2487939.75567042,road,2487943.73013237,2487944.11406851
63,delay,1,pocket,circus,T,1,2487944.28880429,circus,2487947.58592325,2487948.24190394
63,delay,1,neck,wine,,1,2487948.47192719,pudding,2487951.28972372,2487952.28165294
63,delay,1,bowl,minister,S,1,2487952.57171925,priest,2487955.36149504,2487956.29745009
63,delay,1,necklace,uniform,S,1,2487956.63821398,uniform,2487959.04930728,2487959.88128637
63,delay,1,dove,mirror,T,1,2487960.17140219,coffee,2487962.56113077,2487963.37715032
63,delay,1,record,cow,,1,2487963.67124478,album,2487965.65698614,2487966.72090672
63,delay,1,poison,monk,,1,2487966.97110753,church,2487969.54476976,2487970.66469168
63,delay,1,jeep,suit,,1,2487970.97091887,road,2487973.86456557,2487974.24055348
63,delay,2,toe,golf,T,1,2487984.50397608,golf,2487986.96785392,2487987.4478039
63,delay,2,globe,medicine,S,1,2487987.68683486,meal,2487992.255577,2487992.80752136
63,delay,2,bird,vice,,1,2487993.31991624,nest,2487995.83936318,2487996.33532341
63,delay,2,frog,nest,,1,2487996.61976903,nest,2487997.72726271,2487998.34325896
63,delay,2,ridge,arm,,1,2487998.6030114,golf,2488002.15904217,2488002.61497691
63,delay,2,planet,elbow,,1,2488002.83615696,globe,2488005.49483042,2488006.16682197
63,delay,2,blanket,shield,T,1,2488006.40266332,shield,2488007.71873675,2488008.36668921
63,delay,2,cave,bullet,,1,2488008.55258005,bat,2488012.97446889,2488013.1984377
63,delay,2,magician,band,,1,2488013.51901107,magic,2488015.42237089,2488016.35028897
63,delay,2,hair,rain,S,1,2488016.56887102,dove,2488018.91016738,2488019.25414926
63,delay,3,automobile,siren,,1,2488029.43529658,bubble,2488033.9493489,2488035.37329
63,delay,3,soldier,cape,T,1,2488035.68468209,cape,2488039.97305685,2488040.37306452
63,delay,3,fuel,lock,S,1,2488040.60112818,engine,2488046.88466887,2488047.43667601
63,delay,3,furniture,pudding,,1,2488048.13412411,pudding,2488051.42842262,2488052.51637262
63,delay,3,pond,seal,,1,2488052.76724926,bird,2488057.20415166,2488057.74009241
63,delay,3,dice,liquor,,1,2488057.88368787,album,2488061.09995324,2488061.74786889
63,delay,3,shed,strawberry,,1,2488061.96683821,desk,2488064.58775848,2488065.09170981
63,delay,3,scissors,camp,S,1,2488065.31668678,camp,2488066.85962223,2488067.40359512
63,delay,3,mate,puppy,T,1,2488067.63323774,puppy,2488068.81150151,2488069.73944012
63,delay,3,wind,moon,,1,2488070.04979687,moon,2488071.77935845,2488072.20334513
63,delay,4,clay,pony,T,1,2488082.4162594,horse,2488087.89048727,2488088.50649952
63,delay,4,television,breast,,1,2488088.76561446,breast,2488094.19416566,2488094.96210344
63,delay,4,helmet,net,,1,2488095.26534778,hat,2488097.28202662,2488097.60200384
63,delay,4,bourbon,quarter,S,1,2488097.8818955,clay,2488103.02570708,2488104.58564495
63,delay,4,wood,snow,,1,2488104.83161749,desk,2488109.22538236,2488109.77733426
63,delay,4,peanut,spider,,1,2488110.03135252,leather,2488112.32921494,2488113.3371366
63,delay,4,sugar,basket,,1,2488113.63117612,salt,2488116.49698802,2488116.93694119
63,delay,4,square,island,T,1,2488117.13101932,dance,2488120.04884938,2488120.64076821
63,delay,4,gentleman,toad,S,1,2488120.84753296,garlic,2488128.7603578,2488132.5841484
63,delay,4,shop,highway,,1,2488132.81366213,tail,2488138.70382763,2488139.28778797
63,delay,5,path,pie,S,1,2488149.59658146,pie,2488151.68710894,2488152.04714937
63,delay,5,cook,cabin,,1,2488152.47945133,camp,2488161.60663809,2488162.15059287
