sub_num,list,practice,target,study_order,final_order,final_onset,final_FP,final_LP,final_resp,final_score
10,0,C,guard,1,NaN,2775383.63815241,2775398.68593898,2775404.0856605,guard,NaN
10,0,C,bush,2,NaN,2775404.55344937,2775405.28559958,2775407.02151836,bush,NaN
10,0,C,fence,3,NaN,2775407.31996514,2775407.91746422,2775408.74941223,fence,NaN
10,0,C,rash,4,NaN,2775409.26980636,2775409.52536494,2775410.0773425,gift,NaN
10,0,C,siren,5,NaN,2775410.33641247,2775410.96530935,2775411.85326654,party,NaN
10,0,C,gift,6,NaN,2775412.13628805,2775413.64517427,2775414.46110206,fence,NaN
10,0,C,cart,7,NaN,2775414.76948081,2775426.18052853,2775426.70046989,gift,NaN
10,0,C,toast,8,NaN,2775427.03531607,2775440.67575256,2775441.40367601,rash,NaN
10,0,C,picture,9,NaN,2775442.0840263,NaN,2775473.68522904,,NaN
10,0,C,gold,10,NaN,0,0,0,,NaN
10,0,C,shield,11,NaN,0,0,0,,NaN
10,0,C,seat,12,NaN,0,0,0,,NaN
10,0,C,frame,13,NaN,0,0,0,,NaN
10,0,C,milk,14,NaN,0,0,0,,NaN
10,0,C,river,15,NaN,0,0,0,,NaN
10,1,T,scout,16,NaN,2775685.65185142,2775689.87861111,2775691.60647329,toad,NaN
10,1,T,shoe,17,NaN,2775691.96810928,2775693.15038309,2775693.950313,scout,NaN
10,1,T,dress,18,NaN,2775694.31797507,2775696.69420536,2775697.2141612,shoe,NaN
10,1,T,sock,19,NaN,2775697.5510847,2775698.95809582,2775699.90201238,scale\,NaN
10,1,T,cheese,20,NaN,2775700.01759495,2775701.26996452,2775701.96591486,land,NaN
10,1,T,scale,21,NaN,2775702.61741795,2775705.71773673,2775706.62164048,record,NaN
10,1,T,marble,22,NaN,2775707.00047813,2775762.87473902,2775764.11462571,smile,NaN
10,1,T,journal,23,NaN,2775764.3467471,NaN,2775775.64763523,,NaN
10,1,T,knife,24,NaN,0,0,0,,NaN
10,1,T,vice,25,NaN,0,0,0,,NaN
10,1,T,bubble,26,NaN,0,0,0,,NaN
10,1,T,land,27,NaN,0,0,0,,NaN
10,1,T,record,28,NaN,0,0,0,,NaN
10,1,T,smile,29,NaN,0,0,0,,NaN
10,1,T,toad,30,NaN,0,0,0,,NaN
10,2,S,iron,31,NaN,2775959.78405639,2775960.8882527,2775966.18394724,breakfast,NaN
10,2,S,bedroom,32,NaN,2775966.70026765,2775967.67187201,2775968.91180369,mustard,NaN
10,2,S,breakfast,33,NaN,2775969.35010153,2775970.00775263,2775970.94370618,butter,NaN
10,2,S,soup,34,NaN,2775971.19998195,2775971.96765229,2775972.39160003,root,NaN
10,2,S,root,35,NaN,2775973.04985905,2775973.839547,2775974.58350124,soup,NaN
10,2,S,desk,36,NaN,2775975.43307106,2775976.76740109,2775977.79131007,bedroom,NaN
