subject,group,list,cue,target,practice,test,onset
12,delay,1,milk,scissors,,1,91921.4342515058
12,delay,1,rocket,shed,,NA,91925.9339001581
12,delay,1,gate,date,S,NA,91930.4336058592
12,delay,1,kiss,shark,T,NA,91934.9332856016
12,delay,1,ring,brat,,NA,91939.4329345558
12,delay,1,chicken,heel,S,1,91943.9326007151
12,delay,1,tide,chart,T,1,91948.4322907203
12,delay,1,skull,island,,1,91952.9320000435
12,delay,1,cereal,cape,,1,91957.4316372257
12,delay,1,plane,suitcase,,NA,91961.9313139497
12,delay,1,pump,scissors,,NA,91966.4310042566
12,delay,1,planet,shed,T,1,91970.9307123724
12,delay,1,brush,date,,1,91975.4304035849
12,delay,1,desk,shark,,1,91979.9300682351
12,delay,1,spaghetti,brat,,1,91984.4297473738
12,delay,1,bear,heel,,NA,91988.929382745
12,delay,1,hose,chart,,NA,91993.4291005198
12,delay,1,book,island,T,NA,91997.9287811678
12,delay,1,spice,cape,S,NA,92002.4284832467
12,delay,1,poster,suitcase,S,1,92006.9281385396
12,delay,2,coal,bone,T,NA,92081.1561643703
12,delay,2,partner,snake,,1,92085.6558423017
12,delay,2,duck,photograph,,1,92090.1554903503
12,delay,2,hill,scratch,,1,92094.6551984661
12,delay,2,forehead,scar,T,1,92099.1548459111
12,delay,2,mail,morphine,,NA,92103.6545552343
12,delay,2,apple,honeymoon,,NA,92108.1542337693
12,delay,2,sword,palace,S,NA,92112.6539126062
12,delay,2,card,key,S,1,92117.1535905375
12,delay,2,road,briefcase,,NA,92121.653268167
12,delay,2,wire,bone,,1,92126.152946702
12,delay,2,tea,snake,T,NA,92130.652623426
12,delay,2,toothbrush,photograph,S,NA,92135.1523010554
12,delay,2,aisle,scratch,,NA,92139.6519780812
12,delay,2,satellite,scar,,NA,92144.1516584273
12,delay,2,hardware,morphine,,1,92148.6513632228
12,delay,2,blade,honeymoon,T,1,92153.1510130826
12,delay,2,mouse,palace,,1,92157.6506922213
12,delay,2,channel,key,,NA,92162.1503915836
12,delay,2,bomb,briefcase,S,1,92166.6500601577
12,delay,3,muscle,pier,,NA,92242.1779446042
12,delay,3,steel,moon,,1,92246.6776521163
12,delay,3,dough,aunt,T,NA,92251.1773297458
12,delay,3,sail,market,,1,92255.6770064697
12,delay,3,nose,wedding,T,1,92260.1766593479
12,delay,3,sack,wheat,,NA,92264.6763460328
12,delay,3,corn,sugar,S,NA,92269.1760478098
12,delay,3,queen,mistress,S,1,92273.6757191006
12,delay,3,dress,coast,,NA,92278.1753958245
12,delay,3,lemon,knee,,1,92282.6750526267
12,delay,3,spray,pier,T,1,92287.1747528945
12,delay,3,menu,moon,T,NA,92291.674428713
12,delay,3,medicine,aunt,,1,92296.1741105683
12,delay,3,dust,market,S,NA,92300.6737933291
12,delay,3,thorn,wedding,,NA,92305.173431115
12,delay,3,cheek,wheat,,1,92309.6731579453
12,delay,3,camp,sugar,,1,92314.1728162566
12,delay,3,essay,mistress,,NA,92318.6724643053
12,delay,3,drain,coast,S,1,92323.1721455569
12,delay,3,collar,knee,,NA,92327.6718497488
12,delay,4,cook,cup,,1,92409.9826224782
12,delay,4,banana,shirt,T,NA,92414.4822826006
12,delay,4,orange,leather,S,NA,92418.9819291401
12,delay,4,cabinet,football,S,1,92423.4816227673
12,delay,4,juice,pearl,,1,92427.981335109
12,delay,4,dove,farm,,NA,92432.4810230012
12,delay,4,instrument,camel,,1,92436.9806402617
12,delay,4,gentleman,needle,T,1,92441.4803604513
12,delay,4,pound,peach,,NA,92445.9800555878
12,delay,4,pencil,elbow,,NA,92450.4797169176
12,delay,4,quarter,cup,S,NA,92454.9793670792
12,delay,4,bridge,shirt,,1,92459.4791932165
12,delay,4,dummy,leather,,1,92463.9787301861
12,delay,4,dirt,football,,NA,92468.4783981566
12,delay,4,necklace,pearl,,NA,92472.9781074798
12,delay,4,hair,farm,T,1,92477.4778110679
12,delay,4,garbage,camel,T,NA,92481.9774588148
12,delay,4,blood,needle,,NA,92486.4771572715
12,delay,4,reed,peach,,1,92490.9768170922
12,delay,4,hook,elbow,S,1,92495.4764941179
12,delay,5,shrimp,scout,S,NA,92570.9377601527
12,delay,5,chair,cotton,,1,92575.4374293305
12,delay,5,radio,shop,,1,92579.9371063563
12,delay,5,prison,babe,,NA,92584.4367906264
12,delay,5,tomb,brain,S,1,92588.9364634263
12,delay,5,helmet,screw,T,NA,92593.4361093621
12,delay,5,mattress,rock,,1,92597.935842531
12,delay,5,bourbon,turtle,T,1,92602.4354954092
12,delay,5,avenue,hat,,NA,92606.935170624
12,delay,5,ant,bowl,,NA,92611.4348760232
12,delay,5,willow,scout,,1,92615.9344969058
12,delay,5,ditch,cotton,,NA,92620.4341754408
12,delay,5,doll,shop,S,NA,92624.9338805382
12,delay,5,meal,babe,T,1,92629.4335270776
12,delay,5,forest,brain,,NA,92633.9332493802
12,delay,5,ball,screw,,1,92638.4329140303
12,delay,5,feast,rock,T,NA,92642.9325913579
12,delay,5,shore,turtle,,NA,92647.4322381992
12,delay,5,station,hat,,1,92651.9319623128
12,delay,5,nail,bowl,S,1,92656.4315946656
12,delay,6,sign,toast,,1,93054.3530923121
12,delay,6,brandy,meat,,1,93058.8527623954
12,delay,6,train,medal,T,NA,93063.3524557208
12,delay,6,flesh,vest,S,NA,93067.8521375761
12,delay,6,breast,pigeon,,NA,93072.3517928691
12,delay,6,cart,pony,,NA,93076.8514849871
12,delay,6,park,ticket,,NA,93081.3511493354
12,delay,6,table,wind,T,1,93085.8508061376
12,delay,6,body,basket,,1,93090.350503387
12,delay,6,river,roof,S,1,93094.8501828275
12,delay,6,net,toast,,NA,93099.349858646
12,delay,6,chapel,meat,S,NA,93103.8495347662
12,delay,6,cage,medal,,1,93108.3492126975
12,delay,6,siren,vest,,1,93112.8488915344
12,delay,6,flame,pigeon,S,1,93117.3485661454
12,delay,6,bow,pony,,1,93121.8482449823
12,delay,6,circus,ticket,T,1,93126.3479259321
12,delay,6,candy,wind,,NA,93130.8475999394
12,delay,6,mouth,basket,T,NA,93135.3472757578
12,delay,6,guitar,roof,,NA,93139.8469527836
12,delay,7,puppy,squirrel,T,1,93233.3069175643
12,delay,7,lawyer,crab,,1,93237.8065948919
12,delay,7,leaf,crowd,,1,93242.3062701067
12,delay,7,seed,whip,S,1,93246.8059474343
12,delay,7,cent,tent,,1,93251.3056235545
12,delay,7,axe,eye,,NA,93255.8053078246
12,delay,7,snow,passenger,,NA,93260.3049830393
12,delay,7,toad,shield,T,NA,93264.8046588577
12,delay,7,beach,bed,S,NA,93269.3043346761
12,delay,7,cherry,laundry,,NA,93273.8040101927
12,delay,7,rash,squirrel,,NA,93278.3037047255
12,delay,7,bullet,crab,T,NA,93282.8033717904
12,delay,7,saddle,crowd,S,NA,93287.3030424774
12,delay,7,bucket,whip,,NA,93291.8027518007
12,delay,7,record,tent,,NA,93296.3023871718
12,delay,7,cottage,eye,S,1,93300.8020533312
12,delay,7,movie,passenger,T,1,93305.301730357
12,delay,7,toilet,shield,,1,93309.8013995348
12,delay,7,vault,bed,,1,93314.3010898418
