subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
70,delay,1,satellite,hill,S,1,712764.500044824,hill,712766.813696883,712768.141603095
70,delay,1,mistress,lion,,1,712768.866102171,,NaN,NaN
70,delay,1,wedding,page,,1,712776.898913318,page,712779.277123355,712779.733035027
70,delay,1,music,queen,,1,712779.965377163,,NaN,NaN
70,delay,1,gold,date,T,1,712787.998245661,date,712789.364614817,712790.40456768
70,delay,1,drum,crown,,1,712790.948035409,,NaN,NaN
70,delay,1,sun,reed,T,1,712798.980866176,knee,712801.899987594,712802.595909239
70,delay,1,city,knee,,1,712802.997308424,,NaN,NaN
70,delay,1,lock,journal,,1,712811.030140398,,NaN,NaN
70,delay,1,sail,chin,S,1,712819.062942188,,NaN,NaN
70,delay,2,hose,judge,,1,712837.112175057,,NaN,NaN
70,delay,2,barn,gorilla,T,1,712845.144665944,,NaN,NaN
70,delay,2,tunnel,gown,,1,712853.177479203,,NaN,NaN
70,delay,2,nest,pump,S,1,712861.210310574,,NaN,NaN
70,delay,2,trophy,neck,,1,712869.243140134,,NaN,NaN
70,delay,2,fuel,tooth,T,1,712877.275985389,,NaN,NaN
70,delay,2,sign,elbow,S,1,712885.308809818,,NaN,NaN
70,delay,2,gentleman,ground,,1,712893.341635755,,NaN,NaN
70,delay,2,bench,prison,,1,712901.374464711,,NaN,NaN
70,delay,2,ranch,trash,,1,712909.407288234,,NaN,NaN
70,delay,3,coast,bean,,1,712927.45653046,,NaN,NaN
70,delay,3,surf,clown,S,1,712935.489002028,,NaN,NaN
70,delay,3,badge,leaf,T,1,712943.521859961,,NaN,NaN
70,delay,3,drill,racket,,1,712951.554700689,,NaN,NaN
70,delay,3,brass,scissors,,1,712959.587508214,scissors,712967.603799538,712970.563535168
70,delay,3,corner,court,T,1,712970.803461227,count,712972.739448084,712973.171408141
70,delay,3,bucket,blanket,S,1,712973.43662783,blanket,712975.139355839,712976.915236638
70,delay,3,jewel,brandy,,1,712977.619713251,diamond,712979.619117102,712981.019016707
70,delay,3,sweat,light,,1,712981.119481281,,NaN,NaN
70,delay,3,piano,lung,,1,712989.152345855,,NaN,NaN
70,delay,4,passenger,cape,S,1,713007.2015422,,NaN,NaN
70,delay,4,weed,mate,,1,713015.233995356,,NaN,NaN
70,delay,4,mirror,toilet,T,1,713023.266874418,,NaN,NaN
70,delay,4,forehead,foot,,1,713031.299678321,,NaN,NaN
70,delay,4,paper,spice,,1,713039.332532632,,NaN,NaN
70,delay,4,necklace,circus,,1,713047.365363097,,NaN,NaN
70,delay,4,steel,snake,T,1,713055.398183601,,NaN,NaN
70,delay,4,mattress,floor,,1,713063.430998974,,NaN,NaN
70,delay,4,beer,palm,S,1,713071.463857209,,NaN,NaN
70,delay,4,beef,grass,,1,713079.496657188,,NaN,NaN
70,delay,5,shell,ferry,T,1,713097.545871342,,NaN,NaN
70,delay,5,card,sheep,S,1,713105.578366756,,NaN,NaN
70,delay,5,poison,tape,,1,713113.611196014,,NaN,NaN
70,delay,5,child,movie,,1,713121.644055457,,NaN,NaN
70,delay,5,colonel,tank,,1,713129.676859057,,NaN,NaN
70,delay,5,guitar,shepherd,T,1,713137.709688013,,NaN,NaN
70,delay,5,cake,magician,S,1,713145.742548361,,NaN,NaN
70,delay,5,nail,spark,,1,713153.77535166,,NaN,NaN
70,delay,5,cage,land,,1,713161.808182729,,NaN,NaN
70,delay,5,note,bank,,1,713169.841014401,,NaN,NaN
70,delay,6,hook,hawk,,1,713187.890242139,,NaN,NaN
70,delay,6,hotel,poster,T,1,713195.922727291,,NaN,NaN
70,delay,6,mustard,spot,S,1,713203.955573754,,NaN,NaN
70,delay,6,cigar,window,,1,713211.988395163,,NaN,NaN
70,delay,6,laundry,wind,,1,713220.021235589,,NaN,NaN
70,delay,6,powder,factory,,1,713228.054064847,,NaN,NaN
70,delay,6,toothbrush,owl,,1,713236.086897123,,NaN,NaN
70,delay,6,ant,cafe,,1,713244.119712798,,NaN,NaN
70,delay,6,arrow,cabinet,T,1,713252.152543263,b,713255.917370098,713255.917370098
70,delay,6,hockey,gravy,S,1,713256.568947297,,NaN,NaN
70,delay,7,shoulder,cloud,,1,713274.618149981,,NaN,NaN
70,delay,7,cannon,cane,S,1,713282.650619437,,NaN,NaN
70,delay,7,candy,forest,,1,713290.683476766,,NaN,NaN
70,delay,7,salt,toe,T,1,713298.716280065,,NaN,NaN
70,delay,7,mail,bourbon,,1,713306.749104795,,NaN,NaN
70,delay,7,rabbit,rice,,1,713314.781984763,,NaN,NaN
70,delay,7,blouse,priest,,1,713322.814772064,,NaN,NaN
70,delay,7,ridge,copper,S,1,713330.847604039,,NaN,NaN
70,delay,7,hospital,gun,T,1,713338.880469518,hill,713342.993007698,713343.392953788
70,delay,7,cellar,snow,,1,713343.630135146,,NaN,NaN
70,delay,8,circle,jacket,,1,713361.679370732,,NaN,NaN
70,delay,8,banner,mule,,1,713369.711866448,,NaN,NaN
70,delay,8,lemon,spoon,,1,713377.744668238,spoon,713384.558969419,713385.4308888
70,delay,8,soup,soap,S,1,713385.794193295,soap,713387.102794838,713387.486772581
70,delay,8,kiss,church,T,1,713387.794083725,church,713388.92673613,713389.638652987
70,delay,8,ticket,corpse,,1,713389.960569937,corspe,713392.718521888,713394.150429424
70,delay,8,knife,skirt,,1,713394.576950789,skull,713396.83832192,713397.766250348
70,delay,8,chest,bread,,1,713398.060074635,bread,713401.398080973,713402.614049381
70,delay,8,breakfast,skull,T,1,713402.976421469,bike,713406.125883471,713408.0857498
70,delay,8,plate,cave,S,1,713408.376100122,cave,713410.261679016,713411.061663863
70,delay,9,banana,cream,,1,713421.408964092,d,713428.260706462,713428.260706462
70,delay,9,ski,coffee,,1,713432.441255155,coffe,713440.324165414,713442.196031669
70,delay,9,audience,statue,,1,713442.473949487,statue,713444.491926027,713445.307872882
70,delay,9,rope,bite,T,1,713445.690444317,bite,713448.587733091,713449.035694396
70,delay,9,hall,palace,S,1,713449.323536967,palace,713451.059658991,713452.027589182
70,delay,9,butterfly,bell,,1,713452.306694771,ambulance,713454.187467646,713456.315346933
70,delay,9,thumb,prisoner,T,1,713456.556431484,coffee,713460.947174841,713461.771051236
70,delay,9,hair,brat,,1,713462.139393268,brat,713465.274954278,713466.586834188
70,delay,9,detective,maiden,S,1,713466.972408705,maiden,713470.882627427,713471.570517811
70,delay,9,missile,swamp,,1,713471.888777876,swap,713474.002424441,713477.146296223
70,delay,10,medicine,pile,,1,713487.471439623,pile,713489.841720121,713491.201585666
70,delay,10,screw,pocket,S,1,713491.837528664,poket,713494.305449649,713497.129280163
70,delay,10,vest,liquor,,1,713497.487202714,,NaN,NaN
70,delay,10,babe,king,T,1,713505.520004805,king,713506.528865846,713507.000797783
70,delay,10,belly,doll,,1,713507.219899672,doll,713509.880667228,713510.272685892
70,delay,10,net,bottle,,1,713510.519751253,,NaN,NaN
70,delay,10,toad,peach,,1,713518.552537347,peach,713520.584153479,713521.248097379
70,delay,10,hand,messenger,T,1,713522.102296789,messenger,713523.160035425,713525.343889652
70,delay,10,patch,pony,S,1,713525.685409497,,NaN,NaN
70,delay,10,flood,scale,,1,713533.718240264,scale,713536.591355565,713537.351261678
