sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,prison,1,3377193.20299921
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,cigarette,2,3377197.21940156
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,sock,3,3377201.23580301
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,peanut,4,3377205.25220507
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,honeymoon,5,3377209.26860561
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,doll,6,3377213.28501249
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,rabbi,7,3377217.30140458
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,steel,8,3377221.31781177
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,glove,9,3377225.33421744
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,tower,10,3377229.35067202
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,football,11,3377233.36706803
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,palace,12,3377237.3834236
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,organ,13,3377241.39983682
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,hook,14,3377245.41625699
29,pilot1,2015-03-03-1517m02s,3377106.83851136,0,C,monk,15,3377249.43264063
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,steak,16,3377407.13908074
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,tape,17,3377411.15546649
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,pearl,18,3377415.17187096
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,arrow,19,3377419.18827995
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,emperor,20,3377423.20468593
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,salt,21,3377427.22109221
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,pants,22,3377431.23749819
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,chart,23,3377435.25390507
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,cheek,24,3377439.27031436
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,tea,25,3377443.28672185
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,rock,26,3377447.3031239
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,bishop,27,3377451.31954075
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,sail,28,3377455.33593616
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,bell,29,3377459.35234183
29,pilot1,2015-03-03-1517m02s,3377106.83851136,1,S,cane,30,3377463.36875566
29,pilot1,2015-03-03-1517m02s,3377106.83851136,2,T,sweat,31,3377676.88824334
29,pilot1,2015-03-03-1517m02s,3377106.83851136,2,T,stake,32,3377680.90465083
