sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,book,61,2859238.32931847
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,monkey,62,2859242.34573773
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,turkey,63,2859246.3621274
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,port,64,2859250.37852704
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,fly,65,2859254.39495747
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,judge,66,2859258.4113399
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,statue,67,2859262.42773803
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,wheat,68,2859266.44415155
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,soil,69,2859270.46055391
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,parade,70,2859274.47696501
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,corpse,71,2859278.49336797
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,colonel,72,2859282.50976791
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,toe,73,2859286.526176
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,tiger,74,2859290.54257745
18,pilot1,2015-02-25-1505m51s,2858059.19005149,4,S,cheek,75,2859294.55900335
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,aisle,76,2859508.22839932
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,paint,77,2859512.24480891
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,physician,78,2859516.26121097
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,instrument,79,2859520.27761211
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,hood,80,2859524.29404375
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,basket,81,2859528.31041803
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,brake,82,2859532.32682763
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,scratch,83,2859536.34323421
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,aspirin,84,2859540.35963536
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,hardware,85,2859544.37604375
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,path,86,2859548.39244097
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,church,87,2859552.40885359
18,pilot1,2015-02-25-1505m51s,2858059.19005149,5,T,arrow,88,2859556.42532114
