subject,group,list,cue,target,practice,test,onset
4,delay,1,hammer,gate,S,NA,494133.350266437
4,delay,1,pen,passage,,1,494137.849913582
4,delay,1,carpet,ground,T,1,494142.349546239
4,delay,1,golf,wheat,T,NA,494146.849185536
4,delay,1,seat,strawberry,,1,494151.34882091
4,delay,1,smile,hardware,,NA,494155.848453265
4,delay,1,table,cigarette,,1,494160.348095279
4,delay,1,ribbon,hat,,NA,494164.84773367
4,delay,1,ring,surf,,NA,494169.347367535
4,delay,1,tobacco,jacket,S,1,494173.847033092
4,delay,1,orange,gate,,1,494178.346635867
4,delay,1,paper,passage,S,NA,494182.846281804
4,delay,1,tide,ground,,NA,494187.345917178
4,delay,1,tank,wheat,,1,494191.845549231
4,delay,1,dove,strawberry,,NA,494196.345196678
4,delay,1,palm,hardware,S,1,494200.844835674
4,delay,1,coffee,cigarette,T,NA,494205.344467727
4,delay,1,squirrel,hat,,1,494209.844106722
4,delay,1,machine,surf,T,1,494214.343751151
4,delay,1,soup,jacket,,NA,494218.843390448
4,delay,2,policeman,witch,,NA,494314.652371069
4,delay,2,ski,spike,,1,494319.152033005
4,delay,2,marble,chart,S,1,494323.651651777
4,delay,2,corn,armor,,NA,494328.151296809
4,delay,2,goat,anchor,,1,494332.650934899
4,delay,2,mountain,necklace,T,NA,494337.150584157
4,delay,2,spaghetti,cannon,,NA,494341.650214399
4,delay,2,tower,glove,T,1,494346.149853093
4,delay,2,satellite,flood,S,NA,494350.649493899
4,delay,2,carriage,nail,,1,494355.149134404
4,delay,2,medal,witch,T,1,494359.648774909
4,delay,2,balloon,spike,T,NA,494364.148415715
4,delay,2,toad,chart,,NA,494368.648054409
4,delay,2,drug,armor,,1,494373.14769763
4,delay,2,piano,anchor,S,NA,494377.647327872
4,delay,2,aspirin,necklace,,1,494382.146975621
4,delay,2,turkey,cannon,S,1,494386.646616126
4,delay,2,dame,glove,,NA,494391.146257536
4,delay,2,elephant,flood,,1,494395.645907398
4,delay,2,feast,nail,,NA,494400.145547601
4,delay,3,tent,purse,,1,494517.136199818
4,delay,3,bomb,juice,T,NA,494521.635839417
4,delay,3,bow,mansion,S,1,494526.135492297
4,delay,3,pump,cow,T,1,494530.635121332
4,delay,3,corpse,medicine,,1,494535.13476395
4,delay,3,shore,aunt,,NA,494539.634400832
4,delay,3,photograph,guard,,NA,494544.134045563
4,delay,3,shoulder,physician,,NA,494548.633682143
4,delay,3,quarter,neck,S,NA,494553.133328987
4,delay,3,club,cane,,1,494557.632962851
4,delay,3,whale,purse,S,NA,494562.132615429
4,delay,3,scissors,juice,,1,494566.632241144
