sub_num,list,practice,target,study_order,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score
34,0,C,policeman,1,NaN,NaN,NaN,NaN,,NaN
34,0,C,orange,2,NaN,NaN,NaN,NaN,,NaN
34,0,C,square,3,NaN,NaN,NaN,NaN,,NaN
34,0,C,breast,4,NaN,NaN,NaN,NaN,,NaN
34,0,C,radio,5,NaN,NaN,NaN,NaN,,NaN
34,0,C,string,6,NaN,NaN,NaN,NaN,,NaN
34,0,C,gold,7,NaN,NaN,NaN,NaN,,NaN
34,0,C,bottle,8,NaN,NaN,NaN,NaN,,NaN
34,0,C,tongue,9,NaN,NaN,NaN,NaN,,NaN
34,0,C,tobacco,10,NaN,NaN,NaN,NaN,,NaN
34,0,C,hook,11,NaN,NaN,NaN,NaN,,NaN
34,0,C,gallery,12,NaN,NaN,NaN,NaN,,NaN
34,0,C,chain,13,NaN,NaN,NaN,NaN,,NaN
34,0,C,mechanic,14,NaN,NaN,NaN,NaN,,NaN
34,0,C,novel,15,NaN,NaN,NaN,NaN,,NaN
34,1,T,elbow,16,1,3125985.39836684,3125986.21890873,3125987.72284929,ambulance,NaN
34,1,T,willow,17,2,3125988.41498274,3125988.63483688,3125989.61080079,elbow,NaN
34,1,T,crowd,18,3,3125990.08161852,3125990.2987771,3125991.60274972,crowd,NaN
34,1,T,satellite,19,4,3125992.49824185,3125994.45070062,3125995.13066298,willow,NaN
34,1,T,sun,20,5,3125996.61482119,3126004.71442845,3126005.14640109,scar,NaN
34,1,T,seat,21,6,3126005.44800958,3126007.88234032,3126009.17826911,poster,NaN
34,1,T,poster,22,7,3126009.53124605,3126009.64227489,3126010.4742465,garbage,NaN
34,1,T,garbage,23,8,3126010.74787607,3126023.03394146,3126023.36192059,mate,NaN
34,1,T,pepper,24,9,3126023.64763945,3126023.84991538,3126024.14589247,cake,NaN
34,1,T,scar,25,10,3126024.53095868,NaN,3126075.43360024,,NaN
34,1,T,ambulance,26,11,0,0,0,,NaN
34,1,T,mate,27,12,0,0,0,,NaN
34,1,T,cake,28,13,0,0,0,,NaN
34,1,T,drain,29,14,0,0,0,,NaN
34,1,T,cent,30,15,0,0,0,,NaN
34,2,S,choir,31,1,3126288.35930713,NaN,NaN,,NaN
34,2,S,body,32,2,3126292.37592122,NaN,NaN,,NaN
34,2,S,machine,33,3,3126296.39247796,NaN,NaN,,NaN
34,2,S,candle,34,4,3126300.40907997,NaN,NaN,,NaN
34,2,S,coast,35,5,3126304.42567233,NaN,NaN,,NaN
34,2,S,wheel,36,6,3126308.44226197,NaN,NaN,,NaN
34,2,S,rocket,37,7,3126312.45885191,NaN,NaN,,NaN
34,2,S,moose,38,8,3126316.47547535,NaN,NaN,,NaN
34,2,S,shoe,39,9,3126320.49206227,NaN,NaN,,NaN
34,2,S,costume,40,10,3126324.50862776,NaN,NaN,,NaN
34,2,S,rope,41,11,3126328.52522887,NaN,NaN,,NaN
34,2,S,train,42,12,3126332.54181036,NaN,NaN,,NaN
34,2,S,page,43,13,3126336.55840242,NaN,NaN,,NaN
34,2,S,eye,44,14,3126340.57499417,NaN,NaN,,NaN
34,2,S,desk,45,15,3126344.5915835,NaN,NaN,,NaN
34,3,T,vest,46,1,3126558.18759491,3126560.23580203,3126561.23577336,potato,NaN
34,3,T,tide,47,2,3126561.88752286,3126562.01973527,3126562.82772784,pile,NaN
34,3,T,rabbi,48,3,3126563.9541727,3126564.45166957,3126565.01166095,dame,NaN
34,3,T,wallet,49,4,3126565.27080602,3126565.29966364,3126565.82765479,rabbi,NaN
34,3,T,lawyer,50,5,3126567.10409403,3126568.26759519,3126569.25156791,lawyer,NaN
34,3,T,gift,51,6,3126570.98736406,3126571.09951187,3126571.78747037,bullet,NaN
34,3,T,bullet,52,7,3126572.72066718,NaN,3126648.22436415,,NaN
34,3,T,potato,53,8,0,0,0,,NaN
34,3,T,duck,54,9,0,0,0,,NaN
34,3,T,clown,55,10,0,0,0,,NaN
34,3,T,dame,56,11,0,0,0,,NaN
34,3,T,pile,57,12,0,0,0,,NaN
34,3,T,horn,58,13,0,0,0,,NaN
34,3,T,forest,59,14,0,0,0,,NaN
34,3,T,feast,60,15,0,0,0,,NaN
34,4,S,milk,61,1,3126861.5652832,NaN,NaN,,NaN
34,4,S,automobile,62,2,3126865.58187072,NaN,NaN,,NaN
34,4,S,nurse,63,3,3126869.59846911,NaN,NaN,,NaN
