subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
8,immediate,1,emperor,ear,,1,511034.786881599,ear,511035.632804183,511035.888827647
8,immediate,1,clock,camel,T,1,511036.120120353,camel,511037.048712329,511037.472694624
8,immediate,1,floor,morphine,,1,511037.86966026,morphine,511039.416621113,511040.576559523
8,immediate,1,needle,cow,,1,511040.786059665,cow,511041.864477218,511042.112520711
8,immediate,1,wood,brick,S,1,511042.269299068,brick,511043.096429765,511043.552413748
8,immediate,1,deer,aisle,,1,511043.769130788,aisle,511045.304385951,511046.744318832
8,immediate,1,bucket,shirt,T,1,511047.035521846,shirt,511048.560190273,511048.96814501
8,immediate,1,mattress,beast,,1,511049.118680837,brick,511056.031843519,511056.495783628
8,immediate,1,hotel,dough,S,1,511056.668006371,dough,511058.335779112,511058.88766885
8,immediate,1,metal,cocktail,,1,511059.084497085,cocktail,511060.927583802,511061.991563935
8,immediate,2,bow,mechanic,,1,511241.801779035,mechanic,511242.727120102,511244.574963952
8,immediate,2,smile,dirt,,1,511244.867844641,dirt,511245.950937225,511246.766904352
8,immediate,2,film,journal,S,1,511246.984325303,journal,511247.710874609,511248.510795465
8,immediate,2,camp,fork,,1,511248.73416072,fork,511249.502811871,511249.862741286
8,immediate,2,ferry,nail,T,1,511250.067370497,nail,511250.958730654,511251.214736611
8,immediate,2,toe,poet,S,1,511251.433929414,poet,511252.35864837,511252.806602878
8,immediate,2,bed,mail,,1,511253.017104855,,NA,NA
8,immediate,2,net,feast,,1,511261.049710844,uniform,511264.590140296,511266.701999657
8,immediate,2,shed,coffin,T,1,511266.865837348,coffin,511267.981913231,511268.58986501
8,immediate,2,vault,lawyer,,1,511268.749001409,lawyer,511274.085633847,511275.309537299
8,immediate,3,corn,turtle,T,1,511460.331718946,turtle,511461.124860885,511462.524776489
8,immediate,3,medal,jail,,1,511462.881162202,jail,511463.764765755,511464.100725071
8,immediate,3,chocolate,sand,,1,511464.314369896,sand,511465.524638846,511465.956680197
8,immediate,3,dial,spray,,1,511466.164194778,spray,511468.356513395,511468.972438807
8,immediate,3,powder,canal,S,1,511469.180605985,canal,511470.420462136,511471.00437771
8,immediate,3,earth,frog,,1,511471.413707972,,NA,NA
8,immediate,3,brat,crowd,T,1,511479.446277135,,NA,NA
8,immediate,3,fireplace,stove,,1,511487.478879804,,NA,NA
8,immediate,3,rope,skin,,1,511495.511448061,,NA,NA
8,immediate,3,drug,surf,S,1,511503.544056767,,NA,NA
8,immediate,4,smoke,ambassador,,1,511994.214174267,ambassador,511995.515886142,511996.939760978
8,immediate,4,wall,mate,,1,511997.297199841,mate,511998.243748489,511998.635719437
8,immediate,4,boss,snow,S,1,511998.89704789,snow,511999.803677361,512000.387640024
8,immediate,4,vodka,wheat,,1,512000.613549562,wheat,512001.587582733,512002.219485897
8,immediate,4,seed,breast,T,1,512002.480060635,breast,512003.307467523,512003.851472976
8,immediate,4,peach,parade,S,1,512004.063224003,parade,512005.17142375,512005.819387978
8,immediate,4,moose,machine,,1,512005.979724225,,NA,NA
8,immediate,4,diamond,brass,,1,512014.012283427,,NA,NA
8,immediate,4,admiral,bird,T,1,512022.044876135,,NA,NA
8,immediate,4,book,cream,,1,512035.076952681,,NA,NA
8,immediate,5,record,steam,,1,512206.29431447,steam,512207.249962646,512207.72188816
8,immediate,5,cheek,herd,S,1,512207.89418878,herd,512208.729850624,512209.145852947
8,immediate,5,pants,scar,T,1,512209.31040934,scar,512210.513802782,512210.857774066
8,immediate,5,balloon,orchestra,,1,512211.026915841,orchestra,512212.457736214,512213.921617462
8,immediate,5,jelly,button,,1,512214.159939316,button,512214.953559686,512215.529536339
8,immediate,5,prisoner,corner,S,1,512215.72646177,corner,512217.353460498,512218.569361641
8,immediate,5,wolf,cape,,1,512218.909493712,cape,512219.945389549,512220.29733024
8,immediate,5,partner,clay,T,1,512220.492696924,clay,512222.377244056,512222.681179649
8,immediate,5,maiden,fly,,1,512223.025826167,,NA,NA
8,immediate,5,brush,farm,,1,512231.058353374,farm,512232.832765003,512233.400682902
8,immediate,6,candy,novel,,1,512401.392739152,novel,512402.264806655,512403.496764334
8,immediate,6,axe,mole,T,1,512403.84217302,mole,512404.584717888,512405.072689673
8,immediate,6,flood,pepper,,1,512405.35871689,pepper,512406.328639487,512407.800544475
8,immediate,6,magician,light,,1,512408.058449965,light,512408.808558253,512409.480491071
8,immediate,6,elephant,stomach,S,1,512409.724958564,skirt,512410.56840297,512411.216401307
8,immediate,6,jacket,hawk,,1,512411.508144932,,NA,NA
8,immediate,6,apartment,instrument,T,1,512419.540721038,instrument,512420.799926289,512424.287764053
8,immediate,6,tank,paint,S,1,512424.490254063,paint,512425.927721746,512426.255699581
8,immediate,6,fort,rain,,1,512426.456736189,rain,512428.111613957,512428.399584173
8,immediate,6,artist,grass,,1,512428.673194545,grass,512430.319480494,512430.975451256
8,immediate,7,coffee,mouth,,1,512906.595732344,mouth,512907.513223837,512907.985136673
8,immediate,7,store,brandy,,1,512908.295242353,brandy,512909.161076682,512909.657025421
8,immediate,7,key,hammer,,1,512909.978435331,hammer,512910.872980293,512911.456934504
8,immediate,7,queen,priest,T,1,512911.711607498,priest,512912.576902122,512913.200890212
8,immediate,7,wind,stain,S,1,512913.461446235,stain,512914.280850211,512914.816818341
8,immediate,7,garbage,shell,,1,512915.027968991,shell,512916.192751166,512916.680744383
8,immediate,7,river,chain,,1,512917.077764654,chain,512918.320627821,512918.648646405
8,immediate,7,spot,orange,,1,512918.860986339,orange,512919.840584391,512925.936259232
8,immediate,7,cheese,missile,S,1,512926.176927054,missile,512927.21621416,512928.448207155
8,immediate,7,mayor,mansion,T,1,512928.793350818,mansion,512929.632163358,512932.279995979
8,immediate,8,soup,butterfly,,1,513095.42826281,butterfly,513096.824310525,513098.728188948
8,immediate,8,spice,tent,,1,513099.177594442,tent,513100.104161013,513100.392095309
8,immediate,8,wallet,animal,T,1,513100.627443049,animal,513101.384117451,513101.904033875
8,immediate,8,banner,corridor,,1,513102.277295038,corrider,513103.399964503,513104.551895473
8,immediate,8,statue,president,S,1,513105.310362252,president,513106.399864289,513107.431801381
8,immediate,8,racket,arrow,S,1,513107.660131141,arrow,513109.855659918,513110.367646477
8,immediate,8,plane,whip,,1,513110.593218247,whip,513112.095572213,513112.423582345
8,immediate,8,basket,gun,,1,513112.859649451,,NA,NA
8,immediate,8,scissors,hood,T,1,513120.892242461,hood,513122.319101071,513122.823095584
8,immediate,8,sheep,ranch,,1,513122.975381227,ranch,513123.831063784,513124.2310304
8,immediate,9,whistle,cereal,,1,513295.859688088,cereal,513297.13494444,513297.846851372
8,immediate,9,chart,neck,,1,513298.259141863,neck,513299.350842565,513299.742811098
8,immediate,9,lightning,rash,S,1,513299.908976042,rash,513300.750747905,513301.086694543
8,immediate,9,bean,horse,T,1,513301.292181306,horse,513302.0146955,513302.510634881
8,immediate,9,suit,pumpkin,,1,513302.72538085,pumpkin,513303.726591565,513305.894493949
8,immediate,9,giant,closet,S,1,513306.241752666,closet,513307.190455909,513307.81444249
8,immediate,9,cat,rock,T,1,513308.041558517,rock,513309.310385494,513310.822253125
8,immediate,9,newspaper,park,,1,513311.007962465,park,513313.774140871,513314.078135626
8,immediate,9,beard,porch,,1,513314.390967301,porch,513315.358077876,513316.453975482
8,immediate,9,tea,prison,,1,513316.657427785,prison,513317.677965866,513318.301904453
8,immediate,10,gorilla,factory,,1,513496.157634702,factory,513497.629524899,513498.293553812
8,immediate,10,whale,fuel,,1,513498.473820217,fuel,513499.293439109,513499.653419537
8,immediate,10,bullet,portrait,S,1,513499.890355001,portrait,513501.24533742,513502.493303639
8,immediate,10,bolt,belly,T,1,513502.940070071,belly,513503.909252837,513504.357172632
8,immediate,10,policeman,tomb,,1,513504.55660884,tomb,513505.797120304,513506.181088339
