sub_num,list,practice,target,study_order,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score
25,0,C,root,1,NaN,NaN,NaN,NaN,,NaN
25,0,C,drill,2,NaN,NaN,NaN,NaN,,NaN
25,0,C,deck,3,NaN,NaN,NaN,NaN,,NaN
25,0,C,film,4,NaN,NaN,NaN,NaN,,NaN
25,0,C,drug,5,NaN,NaN,NaN,NaN,,NaN
25,0,C,smile,6,NaN,NaN,NaN,NaN,,NaN
25,0,C,avenue,7,NaN,NaN,NaN,NaN,,NaN
25,0,C,gate,8,NaN,NaN,NaN,NaN,,NaN
25,0,C,globe,9,NaN,NaN,NaN,NaN,,NaN
25,0,C,gallery,10,NaN,NaN,NaN,NaN,,NaN
25,0,C,barn,11,NaN,NaN,NaN,NaN,,NaN
25,0,C,hand,12,NaN,NaN,NaN,NaN,,NaN
25,0,C,animal,13,NaN,NaN,NaN,NaN,,NaN
25,0,C,building,14,NaN,NaN,NaN,NaN,,NaN
25,0,C,tomb,15,NaN,NaN,NaN,NaN,,NaN
25,1,S,bone,16,1,2677666.83106303,NaN,NaN,,NaN
25,1,S,candy,17,2,2677670.84764694,NaN,NaN,,NaN
25,1,S,alcohol,18,3,2677674.86424231,NaN,NaN,,NaN
25,1,S,cafe,19,4,2677678.88085459,NaN,NaN,,NaN
25,1,S,hawk,20,5,2677682.89742128,NaN,NaN,,NaN
25,1,S,wolf,21,6,2677686.91396655,NaN,NaN,,NaN
25,1,S,magician,22,7,2677690.93059815,NaN,NaN,,NaN
25,1,S,gorilla,23,8,2677694.94717994,NaN,NaN,,NaN
25,1,S,salad,24,9,2677698.96376897,NaN,NaN,,NaN
25,1,S,breakfast,25,10,2677702.98035982,NaN,NaN,,NaN
25,1,S,knee,26,11,2677706.99695217,NaN,NaN,,NaN
25,1,S,ambassador,27,12,2677711.01353728,NaN,NaN,,NaN
25,1,S,turtle,28,13,2677715.03013235,NaN,NaN,,NaN
25,1,S,vest,29,14,2677719.04677753,NaN,NaN,,NaN
25,1,S,hair,30,15,2677723.06326786,NaN,NaN,,NaN
25,2,T,hill,31,1,2677937.87587851,2677939.21720385,2677939.75313469,foot,NaN
25,2,T,jacket,32,2,2677940.02583394,2677940.50515161,2677940.70510959,ear,NaN
25,2,T,knight,33,3,2677941.05918377,2677941.23309832,2677942.00907496,highway,NaN
25,2,T,highway,34,4,2677942.2424528,2677942.72105869,2677943.14504667,hill,NaN
25,2,T,meat,35,5,2677943.42576922,2677943.59303573,2677944.11302078,desk,NaN
25,2,T,foot,36,6,2677944.37575369,2677944.53702204,2677944.84892499,meat,NaN
25,2,T,lane,37,7,2677945.17573383,2677946.52102555,2677947.00094179,cigar,NaN
25,2,T,elephant,38,8,2677947.22569775,2677947.40894504,2677947.98491964,cellar,NaN
25,2,T,ear,39,9,2677948.27568037,2677948.45691491,2677948.83289529,wall,NaN
25,2,T,wall,40,10,2677949.09232682,2677949.32089128,2677949.96086452,turtle,NaN
25,2,T,cellar,41,11,2677950.14230975,2677950.38490865,2677951.24083063,elephant,NaN
25,2,T,desk,42,12,2677951.47560998,2677953.44880135,2677954.43275505,tiger,NaN
25,2,T,tiger,43,13,2677954.82555388,2677961.1126492,2677961.4245455,lane,NaN
25,2,T,city,44,14,2677961.65875374,2677964.29654246,2677964.86447172,meat,NaN
25,2,T,cigar,45,15,2677965.09204398,2677973.2882804,2677973.70423843,desk,NaN
25,2,,,NaN,16,2677973.90851747,2677982.47206319,2677983.11999453,jacket,NaN
25,2,,,NaN,17,2677983.40834586,2677983.60799505,2677984.19195702,knight,NaN
25,2,,,NaN,18,2677984.50831685,2677994.99973437,2677995.30369431,city,NaN
25,3,S,port,46,1,2678241.02015092,NaN,NaN,,NaN
25,3,S,brush,47,2,2678245.03673754,NaN,NaN,,NaN
25,3,S,bean,48,3,2678249.05331963,NaN,NaN,,NaN
25,3,S,arrow,49,4,2678253.06991078,NaN,NaN,,NaN
25,3,S,spray,50,5,2678257.08650887,NaN,NaN,,NaN
25,3,S,planet,51,6,2678261.10310032,NaN,NaN,,NaN
25,3,S,beard,52,7,2678265.11968241,NaN,NaN,,NaN
25,3,S,shoulder,53,8,2678269.13626964,NaN,NaN,,NaN
25,3,S,sword,54,9,2678273.15286833,NaN,NaN,,NaN
25,3,S,deer,55,10,2678277.1694637,NaN,NaN,,NaN
25,3,S,prisoner,56,11,2678281.18603312,NaN,NaN,,NaN
25,3,S,golf,57,12,2678285.20263936,NaN,NaN,,NaN
25,3,S,quarter,58,13,2678289.21923564,NaN,NaN,,NaN
25,3,S,orchestra,59,14,2678293.23582196,NaN,NaN,,NaN
25,3,S,drain,60,15,2678297.25237537,NaN,NaN,,NaN
25,4,T,plane,61,1,2678509.54842038,2678510.0421667,2678510.68211791,plane,NaN
25,4,T,pillow,62,2,2678511.09843153,2678512.27410197,2678512.69809327,beer,NaN
25,4,T,club,63,3,2678513.06501349,2678513.2820646,2678513.73803319,wheat,NaN
25,4,T,pigeon,64,4,2678513.99833467,2678514.354028,2678515.01000588,pillow,NaN
25,4,T,beer,65,5,2678515.23160384,2678515.32197403,2678516.52197488,collar,NaN
25,4,T,pony,66,6,2678516.74829716,2678517.95395235,2678518.23392812,rice,NaN
25,4,T,bat,67,7,2678518.56492248,2678518.69792091,2678519.30590087,spice,NaN
25,4,T,breast,68,8,2678519.74822804,2678520.37789988,2678521.18584838,pigeon,NaN
25,4,T,wheat,69,9,2678521.63154455,2678521.97782514,2678522.14586952,bat,NaN
25,4,T,sock,70,10,2678522.39818573,2678522.82581378,2678523.32979207,pony,NaN
25,4,T,net,71,11,2678523.53149357,2678523.72980403,2678524.50575743,parade,NaN
25,4,T,rice,72,12,2678524.76479987,2678529.28968161,2678529.7376275,breast,NaN
25,4,T,parade,73,13,2678529.99803523,2678536.05747859,2678536.51342726,spice,NaN
