subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
62,immediate,1,jewel,cannon,,1,179880.749721016,,NaN,NaN
62,immediate,1,gold,pants,,1,179888.782196003,,NaN,NaN
62,immediate,1,smoke,essay,S,1,179896.815076674,essay,179902.35842953,179904.430307834
62,immediate,1,tunnel,snow,,1,179908.281020755,,NaN,NaN
62,immediate,1,cheek,ribbon,T,1,179916.313855244,,NaN,NaN
62,immediate,1,screw,shrimp,,1,179924.346690939,city,179928.213237933,179932.65298246
62,immediate,1,pork,lemon,,1,179933.129464077,lemon,179936.044848969,179936.796838075
62,immediate,1,stick,sign,,1,179938.345825238,sign,179940.644611293,179943.852484169
62,immediate,1,city,root,T,1,179945.695370759,root,179948.244284874,179948.700237766
62,immediate,1,portrait,bracelet,S,1,179949.161859375,,NaN,NaN
62,immediate,2,weed,lightning,,1,180173.431646231,,NaN,NaN
62,immediate,2,smile,prisoner,,1,180181.464154119,,NaN,NaN
62,immediate,2,admiral,dentist,S,1,180189.497029357,dentist,180191.98492719,180199.576502474
62,immediate,2,basket,pen,T,1,180200.446342636,,NaN,NaN
62,immediate,2,rocket,saddle,,1,180208.479157806,,NaN,NaN
62,immediate,2,breakfast,puppy,,1,180216.511995313,,NaN,NaN
62,immediate,2,soap,furniture,,1,180224.544815312,,NaN,NaN
62,immediate,2,scout,costume,S,1,180232.577693871,,NaN,NaN
62,immediate,2,cottage,nose,T,1,180240.610514172,,NaN,NaN
62,immediate,2,stomach,dirt,,1,180248.643358621,dirt,180252.302055076,180253.1819963
62,immediate,3,chair,glass,,1,180450.481250523,glass,180452.692650801,180454.108574342
62,immediate,3,chart,scale,,1,180455.247294305,scale,180457.036473575,180457.860401054
62,immediate,3,frame,rock,T,1,180458.347115942,rock,180459.636356941,180460.540266152
62,immediate,3,artist,bishop,S,1,180461.03027119,,NaN,NaN
62,immediate,3,stove,hammer,,1,180469.063107791,hammer,180473.035706578,180473.94764949
62,immediate,3,music,hand,,1,180475.046065418,hand,180477.523495141,180478.515480457
62,immediate,3,butter,golf,T,1,180478.895835063,,NaN,NaN
62,immediate,3,island,bean,,1,180486.928675588,,NaN,NaN
62,immediate,3,jail,blood,,1,180494.961512793,,NaN,NaN
62,immediate,3,hound,cigar,S,1,180502.994350903,,NaN,NaN
62,immediate,4,battle,cloth,S,1,181030.628823403,cloth,181033.37747497,181034.633413011
62,immediate,4,wheel,pumpkin,,1,181036.21147725,,NaN,NaN
62,immediate,4,dial,cheese,,1,181044.244330453,,NaN,NaN
62,immediate,4,blanket,cloud,T,1,181052.277188485,cloud,181054.064579001,181055.256472917
62,immediate,4,carriage,record,,1,181055.943595361,,NaN,NaN
62,immediate,4,leopard,owl,T,1,181063.976445847,owl,181070.191756273,181072.527676348
62,immediate,4,detective,coast,,1,181073.725841169,president,181076.863500134,181079.207362752
62,immediate,4,soup,gun,,1,181080.092120574,gun,181083.583153105,181083.943105763
62,immediate,4,board,president,,1,181084.941820189,,NaN,NaN
62,immediate,4,note,bread,S,1,181092.974659507,bread,181095.982559489,181097.246511007
62,immediate,5,juice,soldier,,1,181309.144990566,tree,181312.916403933,181313.860360305
62,immediate,5,pearl,ranch,T,1,181314.66099805,,NaN,NaN
62,immediate,5,neck,mirror,,1,181322.693856988,mirror,181324.459889602,181326.11581901
62,immediate,5,pillow,rash,,1,181327.943513258,rash,181330.275601365,181334.515403184
62,immediate,5,bone,hall,S,1,181336.026348667,hall,181337.667235148,181338.227216542
62,immediate,5,janitor,arm,,1,181338.509530719,,NaN,NaN
62,immediate,5,alcohol,spring,T,1,181346.542367924,,NaN,NaN
62,immediate,5,coffin,steak,,1,181354.575206336,,NaN,NaN
62,immediate,5,film,knight,S,1,181362.608040221,knight,181368.185782689,181369.609684994
62,immediate,5,steam,vest,,1,181370.507559648,,NaN,NaN
62,immediate,6,football,muscle,,1,181584.211393336,muscle,181586.967583572,181589.039458254
62,immediate,6,foot,thunder,S,1,181589.560747486,,NaN,NaN
62,immediate,6,radio,turtle,T,1,181597.593579861,tuttler,181599.998978242,181602.790825553
62,immediate,6,pond,lock,,1,181603.976521611,sock,181609.414587559,181610.894433278
62,immediate,6,blade,mountain,,1,181612.292675734,,NaN,NaN
62,immediate,6,factory,sock,S,1,181622.325376503,sock,181624.853792381,181627.421656551
62,immediate,6,spark,bourbon,,1,181628.37501913,,NaN,NaN
62,immediate,6,tongue,lamp,,1,181636.407858749,pond,181640.085083276,181641.069022515
62,immediate,6,gift,lion,,1,181641.357554773,,NaN,NaN
62,immediate,6,turkey,salad,T,1,181649.390391978,salad,181650.852603097,181653.180444798
62,immediate,7,drill,suit,S,1,182177.857574846,,NaN,NaN
