subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
34,immediate,1,instrument,orchestra,T,NaN,772277.037446094,orchestra,772279.894891832,772282.038993356,1
34,immediate,1,lieutenant,butterfly,T,1,772282.420081625,butterfly,772284.078654093,772285.646382121,1
34,immediate,1,detective,plate,T,1,772286.069843514,plate,772287.310549604,772287.982457925,1
34,immediate,1,banner,vault,T,NaN,772288.319690403,vault,772289.438501166,772290.294396322,1
34,immediate,2,paint,ridge,T,1,772456.558476451,ridge,772457.845104467,772458.428784446,1
34,immediate,2,gorilla,road,T,NaN,772459.141324844,road,772462.612684952,772467.516566962,1
34,immediate,2,spike,canal,T,NaN,772470.523880386,canal,772476.212002962,772476.827994937,1
34,immediate,2,diamond,brain,T,1,772477.57338643,brain,772478.643930528,772479.283979922,1
34,immediate,3,pocket,tiger,T,NaN,772691.309071465,tiger,772692.943882625,772693.559695908,1
34,immediate,3,boot,thumb,T,1,772693.875234119,thumb,772695.303646691,772697.119733506,1
34,immediate,3,fountain,peach,T,1,772697.524973973,,NaN,NaN,1
34,immediate,3,root,shirt,T,NaN,772705.557780696,shirt,772709.222986831,772709.782764842,1
34,immediate,4,balloon,choir,T,1,773203.690553039,choir,773205.115434316,773205.731326984,1
34,immediate,4,potato,surf,T,NaN,773206.240038105,porch,773212.730984389,773213.402533211,1
34,immediate,4,satellite,camel,T,NaN,773214.139504713,camel,773215.298818968,773216.266615936,1
34,immediate,4,thunder,belly,T,1,773216.68932513,belly,773218.466265252,773219.170364228,1
34,immediate,5,dress,salad,T,NaN,773439.541014969,salad,773442.229920231,773442.878091392,1
34,immediate,5,toothbrush,ocean,T,1,773443.207093137,ocean,773444.158039258,773444.829936108,1
34,immediate,5,scratch,tomb,T,1,773445.173627786,tomb,773447.037892826,773447.453614589,1
34,immediate,5,child,minister,T,NaN,773447.72345273,minister,773449.269751511,773451.637616818,1
34,immediate,6,poster,candle,T,NaN,773611.54586201,candle,773613.348404096,773614.340361714,1
34,immediate,6,shop,fork,T,1,773614.945291944,fork,773615.852404006,773616.476298609,1
34,immediate,6,dough,brake,T,NaN,773616.845160611,brake,773618.012299314,773618.684287624,1
34,immediate,6,moose,husband,T,1,773618.911680198,husband,773620.380065313,773622.355966844,1
34,immediate,7,umbrella,wind,T,NaN,774137.94300033,wind,774139.183207469,774139.550799303,1
34,immediate,7,mule,hound,T,1,774139.842536061,hound,774140.75905847,774141.37483523,1
