subject,group,list,cue,target,practice,test,onset
75,immediate,1,minister,banner,T,NaN,671963.043867659
75,immediate,1,ambassador,shore,T,1,671967.543570187
75,immediate,1,beam,rain,,1,671972.043350592
75,immediate,1,platform,scar,,NaN,671976.543059157
75,immediate,1,ticket,soil,,NaN,671981.042798511
75,immediate,1,wreck,market,S,1,671985.542518848
75,immediate,1,tape,mirror,S,NaN,671990.042231941
75,immediate,1,automobile,basket,,NaN,671994.541967069
75,immediate,1,movie,bell,,1,671999.041742041
75,immediate,1,spike,brat,,1,672003.541451511
75,immediate,1,mule,banner,,1,672008.041194789
75,immediate,1,wheel,shore,,NaN,672012.540926295
75,immediate,1,boat,rain,,NaN,672017.04066263
75,immediate,1,avenue,scar,T,1,672021.540393532
75,immediate,1,janitor,soil,S,1,672026.040098475
75,immediate,1,spice,market,,NaN,672030.53982666
75,immediate,1,plane,mirror,,1,672035.039562694
75,immediate,1,president,basket,,1,672039.539291785
75,immediate,1,sweat,bell,S,NaN,672044.039058305
75,immediate,1,ranch,brat,T,NaN,672048.538760833
75,immediate,2,park,queen,,NaN,672229.844607429
75,immediate,2,rice,bush,,1,672234.344415906
75,immediate,2,straw,worm,S,NaN,672238.844147714
75,immediate,2,shirt,shield,T,1,672243.343832735
75,immediate,2,cup,snake,,1,672247.843582351
75,immediate,2,radio,throne,S,1,672252.343269183
75,immediate,2,tomato,medal,,1,672256.843032685
75,immediate,2,cook,heel,,NaN,672261.342804337
75,immediate,2,pants,stake,,NaN,672265.842495998
75,immediate,2,magazine,river,T,NaN,672270.342274894
75,immediate,2,road,queen,,1,672274.842007909
75,immediate,2,mail,bush,,NaN,672279.341721304
75,immediate,2,branch,worm,,1,672283.841423832
75,immediate,2,fly,shield,,NaN,672288.341205143
75,immediate,2,mountain,snake,T,NaN,672292.84094842
75,immediate,2,moon,throne,,NaN,672297.340592692
75,immediate,2,rifle,medal,S,NaN,672301.840324499
75,immediate,2,uniform,heel,T,1,672306.340151087
75,immediate,2,scratch,stake,S,1,672310.839862369
75,immediate,2,bench,river,,1,672315.339521129
75,immediate,3,purse,missile,,1,672461.114214685
75,immediate,3,bishop,building,,1,672465.614007164
75,immediate,3,tooth,steel,,NaN,672470.11370939
75,immediate,3,witch,skin,,NaN,672474.613441198
