subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
32,immediate,1,foot,soup,T,NaN,947715.962506177,soup,947719.521671674,947720.545605854,1
32,immediate,1,lion,steel,T,1,947721.71167964,,NaN,NaN,1
32,immediate,1,toast,square,T,1,947729.744322454,square,947731.321146095,947732.521039603,1
32,immediate,1,pocket,toilet,T,NaN,947733.044037599,toilet,947735.344935991,947736.320861754,1
32,immediate,2,planet,wheel,T,1,947936.276231625,lemon,947943.7191516,947944.247124666,1
32,immediate,2,needle,duck,T,NaN,947944.658462522,duck,947946.799027987,947947.463018866,1
32,immediate,2,bat,clay,T,1,947947.824841477,clay,947949.254916888,947949.774858969,1
32,immediate,2,messenger,hood,T,NaN,947950.141288996,ship,947956.142582116,947956.92654182,1
32,immediate,3,reed,belly,T,NaN,948208.517652861,stomach,948213.026597692,948214.242463217,1
32,immediate,3,giant,cigarette,T,1,948214.866743497,cigarette,948222.058121856,948224.977930339,1
32,immediate,3,satellite,cigar,T,1,948225.482412036,,NaN,NaN,1
32,immediate,3,road,mouse,T,NaN,948233.515006555,mouse,948235.225497213,948236.225437447,1
32,immediate,4,suitcase,chair,T,1,948746.732631555,chair,948749.657511095,948750.537385913,1
32,immediate,4,cow,basket,T,NaN,948752.265108202,basket,948753.77722184,948754.537189711,1
32,immediate,4,bracelet,wine,T,NaN,948754.848194296,wine,948760.368942313,948760.640885274,1
32,immediate,4,pepper,peanut,T,1,948760.980940373,peanut,948762.144842962,948764.360725692,1
32,immediate,5,fireplace,whale,T,1,948986.259579241,whale,948988.846266389,948989.558178452,1
32,immediate,5,paint,trash,T,NaN,948989.8922325,trash,948991.174147632,948991.7660631,1
32,immediate,5,gorilla,bell,T,1,948992.108691761,bomb,948993.885972763,948994.565945621,1
32,immediate,5,king,passage,T,NaN,948997.291525993,passage,949000.301702517,949001.34162924,1
32,immediate,6,ambulance,porch,T,1,949191.106678431,porch,949192.908709812,949193.508649623,1
32,immediate,6,dirt,powder,T,NaN,949193.856092769,powder,949195.48450928,949196.412508727,1
32,immediate,6,muscle,ankle,T,1,949196.755814133,ankle,949198.276440203,949200.380315969,1
32,immediate,6,flame,pumpkin,T,NaN,949200.73878323,,NaN,NaN,1
32,immediate,7,camel,herd,T,NaN,949751.569738349,herd,949754.43440392,949755.346301856,1
32,immediate,7,dollar,ditch,T,1,949756.11895069,salad,949760.290141715,949762.610001633,1
32,immediate,7,cord,milk,T,1,949767.201235527,milk,949774.76943807,949775.177356585,1
32,immediate,7,wallet,coffee,T,NaN,949776.200383408,,NaN,NaN,1
32,immediate,8,football,monkey,T,1,949975.131669987,monkey,949977.215961211,949979.655832817,1
32,immediate,8,hammer,rice,T,NaN,949980.080826908,rice,949981.191724579,949981.543694247,1
32,immediate,8,seed,shovel,T,NaN,949981.764001776,,NaN,NaN,1
32,immediate,8,barrel,arm,T,1,949989.79657426,cup,949995.591101382,949996.647064115,1
32,immediate,9,rain,salt,T,NaN,950251.704844278,salt,950258.082794659,950258.530732867,1
32,immediate,9,hospital,crab,T,1,950259.087140676,spider,950269.554263174,950270.354220855,1
32,immediate,9,cellar,partner,T,1,950271.385948464,,NaN,NaN,1
32,immediate,9,hill,salmon,T,NaN,950279.41850978,,NaN,NaN,1
32,immediate,10,anchor,banner,T,NaN,950501.847158956,,NaN,NaN,1
32,immediate,10,shore,meal,T,1,950509.879386124,,NaN,NaN,1
32,immediate,10,fountain,thumb,T,1,950517.911936875,,NaN,NaN,1
32,immediate,10,sock,clock,T,NaN,950525.944487626,clock,950527.214276594,950527.806131994,1
32,immediate,1,foot,soup,T,NaN,947761.025259295,soup,947762.455661608,947763.559591406,2
32,immediate,1,lion,steel,T,1,947764.407972546,,NaN,NaN,2
32,immediate,1,toast,square,T,1,947772.440605098,square,947774.047117059,947775.815006042,2
32,immediate,1,pocket,toilet,T,NaN,947777.2235195,toilet,947778.630887142,947779.662831177,2
32,immediate,2,planet,wheel,T,1,947981.438734542,,NaN,NaN,2
32,immediate,2,needle,duck,T,NaN,947994.47054033,duck,947998.324630937,948000.108504313,2
32,immediate,2,bat,clay,T,1,948000.369992445,clay,948001.332443383,948001.788418612,2
32,immediate,2,messenger,hood,T,NaN,948002.169819425,,NaN,NaN,2
32,immediate,3,reed,belly,T,NaN,948261.92939429,stomach,948263.888159958,948265.480079048,2
32,immediate,3,giant,cigarette,T,1,948266.045296912,cigarette,948268.079972979,948271.607760105,2
32,immediate,3,satellite,cigar,T,1,948272.478020139,,NaN,NaN,2
32,immediate,3,road,mouse,T,NaN,948280.5106053,mouse,948283.007277872,948283.647265448,2
32,immediate,4,suitcase,chair,T,1,948789.011925737,chair,948792.551430928,948793.967293496,2
32,immediate,4,cow,basket,T,NaN,948794.427743329,basket,948795.671262412,948796.383234845,2
32,immediate,4,bracelet,wine,T,NaN,948796.77750105,wine,948797.839178078,948798.183143627,2
32,immediate,4,pepper,peanut,T,1,948798.560665685,peanut,948799.775080828,948801.766925482,2
32,immediate,5,fireplace,whale,T,1,949025.822476795,whale,949027.324441678,949028.164397922,2
32,immediate,5,paint,trash,T,NaN,949028.488566427,trash,949029.660316476,949030.236269586,2
32,immediate,5,gorilla,bell,T,1,949030.588360899,bomb,949031.620229773,949032.372183564,2
32,immediate,5,king,passage,T,NaN,949033.488089205,passage,949036.883979355,949038.923905776,2
32,immediate,6,ambulance,porch,T,1,949232.819366848,porch,949234.122755491,949235.154709185,2
32,immediate,6,dirt,powder,T,NaN,949235.885428832,powder,949237.49056225,949238.602532087,2
32,immediate,6,muscle,ankle,T,1,949239.001789359,ankle,949240.218500966,949242.010346465,2
32,immediate,6,flame,pumpkin,T,NaN,949242.45147859,,NaN,NaN,2
32,immediate,7,camel,herd,T,NaN,949809.280898809,herd,949812.759656967,949814.799598783,2
32,immediate,7,dollar,ditch,T,1,949815.130018875,coffee,949817.439420644,949819.439336126,2
32,immediate,7,cord,milk,T,1,949822.612655184,milk,949823.855131381,949824.495103865,2
32,immediate,7,wallet,coffee,T,NaN,949824.895755676,coffee,949831.374781273,949832.41477712,2
32,immediate,8,football,monkey,T,1,950024.876838522,monkey,950026.149676162,950027.349558501,2
32,immediate,8,hammer,rice,T,NaN,950027.559589595,rice,950028.677537845,950029.229545606,2
32,immediate,8,seed,shovel,T,NaN,950029.509406056,,NaN,NaN,2
32,immediate,8,barrel,arm,T,1,950037.541965258,cup,950039.653021399,950040.40496553,2
32,immediate,9,rain,salt,T,NaN,950311.49908887,salt,950313.512202079,950313.928188404,2
32,immediate,9,hospital,crab,T,1,950314.865075482,,NaN,NaN,2
32,immediate,9,cellar,partner,T,1,950322.897627138,,NaN,NaN,2
32,immediate,9,hill,salmon,T,NaN,950330.930180605,,NaN,NaN,2
32,immediate,10,anchor,banner,T,NaN,950552.958848979,,NaN,NaN,2
32,immediate,10,shore,meal,T,1,950560.991073129,,NaN,NaN,2
32,immediate,10,fountain,thumb,T,1,950569.023627502,,NaN,NaN,2
32,immediate,10,sock,clock,T,NaN,950577.056174328,clock,950578.443824917,950580.691705411,2
