sub_num,group,version,datetime,exp_onset,list,repeating,practice,cue,target,study_order,study_onset,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score,final_order,final_onset,final_FP,final_LP,final_resp,final_score
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,shark,shower,1,3291783.35292539,NaN,NaN,NaN,NaN,,NaN,20,3291984.7711939,3291990.00072292,3291991.24860532,mirror,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,pumpkin,colonel,2,3291787.36931437,NaN,NaN,NaN,NaN,,NaN,9,3291950.69041503,NaN,3291956.40683552,,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,dress,island,3,3291791.38565747,NaN,NaN,NaN,NaN,,NaN,18,3291981.77141485,NaN,3291983.29292433,,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,shovel,partner,4,3291795.40202381,NaN,NaN,NaN,NaN,,NaN,4,3291936.40812953,3291937.80378139,3291938.52371717,partner,1
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,shrimp,instrument,5,3291799.41838713,NaN,NaN,NaN,NaN,,NaN,16,3291976.57181799,NaN,3291978.78092538,,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,mirror,beach,6,3291803.43475257,NaN,NaN,NaN,NaN,,NaN,2,3291928.80877633,3291930.53222407,3291931.36413803,shark,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,spring,brat,7,3291807.45114306,NaN,NaN,NaN,NaN,,NaN,22,3291993.90386416,3291995.52837072,3291995.91236955,brat,1
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,satellite,pudding,8,3291811.46750185,NaN,NaN,NaN,NaN,,NaN,11,3291960.02305372,3291963.274286,3291964.53015704,flight,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,squirrel,hardware,9,3291815.48386849,NaN,NaN,NaN,NaN,,NaN,19,3291983.30465192,NaN,3291984.76493575,,0
38,delay,pilot4,2015-02-27-1431m23s,3291631.57781656,1,N,C,cigar,ribbon,10,3291819.50020254,NaN,NaN,NaN,NaN,,NaN,25,3292002.45320556,3292004.18386258,3292004.51183867,bow,0
