sub_num,list,practice,target,study_order,final_order,final_onset,final_FP,final_LP,final_resp,final_score
11,0,C,plug,1,NaN,2852536.33261162,2852538.73630302,2852541.18412352,honetmoon,NaN
11,0,C,envelope,2,NaN,2852541.88222934,2852544.10397565,2852545.24790677,medicine,NaN
11,0,C,spring,3,NaN,2852545.48201552,2852546.31986614,2852547.25579885,closet,NaN
11,0,C,spark,4,NaN,2852547.71520846,2852548.35175927,2852549.46367923,partner,NaN
11,0,C,medicine,5,NaN,2852549.71505029,2852549.85566773,2852550.95160551,spring,NaN
11,0,C,telephone,6,NaN,2852551.28161551,2852551.90356206,2852552.83151093,plug,NaN
11,0,C,cord,7,NaN,2852553.34817182,2852556.34332235,2852557.88723728,envelope,NaN
11,0,C,sweat,8,NaN,2852558.19788653,2852558.95920209,2852559.55915035,lion,NaN
11,0,C,lion,9,NaN,2852559.98107602,2852580.52604379,2852581.58999245,closet,NaN
11,0,C,body,10,NaN,2852581.97958278,2852588.71764376,2852589.78154955,partner,NaN
11,0,C,honeymoon,11,NaN,2852589.9791285,2852594.77331638,2852595.34125711,book,NaN
11,0,C,closet,12,NaN,2852595.62874143,NaN,2852626.42955666,,NaN
11,0,C,boot,13,NaN,0,0,0,,NaN
11,0,C,partner,14,NaN,0,0,0,,NaN
11,0,C,gravy,15,NaN,0,0,0,,NaN
11,1,S,mule,16,NaN,2852802.59867356,2852802.97831744,2852804.15421624,rabbi,NaN
11,1,S,lieutenant,17,NaN,2852804.56521777,2852805.17018545,2852806.06611652,store,NaN
11,1,S,bourbon,18,NaN,2852806.3984106,2852807.01808575,2852807.35404515,sun,NaN
11,1,S,lobster,19,NaN,2852807.79831322,2852809.11397674,2852810.55388222,emperor,NaN
11,1,S,sheep,20,NaN,2852810.93144848,2852811.58584809,2852813.29773684,cape,NaN
11,1,S,cape,21,NaN,2852813.5312917,2852814.14570658,2852815.32162711,lobster,NaN
11,1,S,steel,22,NaN,2852815.93112188,2852816.62557898,2852817.59350051,steel,NaN
11,1,S,store,23,NaN,2852817.91432411,2852818.60946398,2852820.62534897,furniture,NaN
11,1,S,doll,24,NaN,2852821.19751858,2852828.02499955,2852835.91253959,lieutenant,NaN
11,1,S,rabbi,25,NaN,2852836.74642666,2852841.07228717,2852842.42419706,bourbon,NaN
11,1,S,hammer,26,NaN,2852842.84606749,2852846.42400298,2852847.03988754,mule,NaN
11,1,S,arrow,27,NaN,2852847.21245637,2852847.62392697,2852848.76786292,sheep,NaN
11,1,S,emperor,28,NaN,2852849.0623383,2852856.61547496,2852858.23936179,hammar,NaN
11,1,S,furniture,29,NaN,2852858.62836231,NaN,2852892.62962101,,NaN
11,1,S,sun,30,NaN,0,0,0,,NaN
11,2,T,cellar,31,NaN,2853101.59593944,2853102.53047883,2853103.29041313,forest,NaN
11,2,T,orchestra,32,NaN,2853103.82913238,2853104.37835891,2853105.52228701,chicken,NaN
11,2,T,bomb,33,NaN,2853105.92893953,2853106.44225233,2853106.97821451,herd,NaN
11,2,T,record,34,NaN,2853107.24557742,2853109.32210524,2853109.80201114,soil,NaN
11,2,T,seed,35,NaN,2853110.09537574,2853110.16203075,2853111.0579742,seed,NaN
11,2,T,clock,36,NaN,2853111.27863658,2853113.93788265,2853114.65780626,spike,NaN
11,2,T,mayor,37,NaN,2853114.89509888,2853115.2817945,2853116.09773407,mayor,NaN
11,2,T,bishop,38,NaN,2853116.37830579,2853120.08154814,2853120.72146665,peach,NaN
11,2,T,soil,39,NaN,2853121.04470049,NaN,2853191.64604691,,NaN
11,2,T,spike,40,NaN,0,0,0,,NaN
11,2,T,chicken,41,NaN,0,0,0,,NaN
11,2,T,forest,42,NaN,0,0,0,,NaN
11,2,T,stove,43,NaN,0,0,0,,NaN
