sub_num,list,practice,target,study_order,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score
16,0,C,sock,1,NaN,NaN,NaN,NaN,,NaN
16,0,C,monk,2,NaN,NaN,NaN,NaN,,NaN
16,0,C,peach,3,NaN,NaN,NaN,NaN,,NaN
16,0,C,bourbon,4,NaN,NaN,NaN,NaN,,NaN
16,0,C,spider,5,NaN,NaN,NaN,NaN,,NaN
16,0,C,battle,6,NaN,NaN,NaN,NaN,,NaN
16,0,C,armor,7,NaN,NaN,NaN,NaN,,NaN
16,0,C,test,8,NaN,NaN,NaN,NaN,,NaN
16,0,C,elbow,9,NaN,NaN,NaN,NaN,,NaN
16,0,C,jail,10,NaN,NaN,NaN,NaN,,NaN
16,0,C,spike,11,NaN,NaN,NaN,NaN,,NaN
16,0,C,magazine,12,NaN,NaN,NaN,NaN,,NaN
16,0,C,arm,13,NaN,NaN,NaN,NaN,,NaN
16,0,C,cent,14,NaN,NaN,NaN,NaN,,NaN
16,0,C,ticket,15,NaN,NaN,NaN,NaN,,NaN
16,1,T,tomato,16,1,3118630.05972729,3118631.08691055,3118632.26282645,coffee,NaN
16,1,T,movie,17,2,3118632.75956894,3118633.62275616,3118634.0307239,clay,NaN
16,1,T,shore,18,3,3118634.49276357,3118635.07067611,3118635.75859821,table,NaN
16,1,T,balloon,19,4,3118635.97596468,3118637.78252305,3118638.65443389,tomato,NaN
16,1,T,copper,20,5,3118638.94242638,3118641.23030567,3118642.334211,balloon,NaN
16,1,T,lock,21,6,3118642.77546018,3118643.38218957,3118643.82215018,shore,NaN
16,1,T,liquor,22,7,3118644.10870648,3118646.07004375,3118646.66998918,copper,NaN
16,1,T,lamp,23,8,3118647.35846938,3118650.15783599,3118650.50977706,tide,NaN
16,1,T,tide,24,9,3118650.72488393,3118662.18910019,3118662.68505155,finger,NaN
16,1,T,cigarette,25,10,3118662.94065394,3118666.96480939,3118667.89278313,ate,NaN
16,1,T,finger,26,11,3118668.19025898,3118672.80444304,3118674.71632209,cemetary,NaN
16,1,T,coffee,27,12,3118675.25640228,NaN,3118720.05733396,,NaN
16,1,T,mate,28,13,0,0,0,,NaN
16,1,T,clay,29,14,0,0,0,,NaN
16,1,T,table,30,15,0,0,0,,NaN
16,2,S,thread,31,1,3118929.2542616,NaN,NaN,,NaN
16,2,S,chart,32,2,3118933.27062583,NaN,NaN,,NaN
16,2,S,poster,33,3,3118937.28699458,NaN,NaN,,NaN
16,2,S,pile,34,4,3118941.3033733,NaN,NaN,,NaN
16,2,S,seal,35,5,3118945.31973421,NaN,NaN,,NaN
16,2,S,port,36,6,3118949.33611353,NaN,NaN,,NaN
16,2,S,throne,37,7,3118953.35247474,NaN,NaN,,NaN
16,2,S,drug,38,8,3118957.36882568,NaN,NaN,,NaN
16,2,S,music,39,9,3118961.38519836,NaN,NaN,,NaN
16,2,S,mattress,40,10,3118965.40159217,NaN,NaN,,NaN
16,2,S,restaurant,41,11,3118969.41794916,NaN,NaN,,NaN
16,2,S,cave,42,12,3118973.43432365,NaN,NaN,,NaN
16,2,S,bone,43,13,3118977.45070991,NaN,NaN,,NaN
16,2,S,television,44,14,3118981.46706448,NaN,NaN,,NaN
16,2,S,cottage,45,15,3118985.48345044,NaN,NaN,,NaN
16,3,T,branch,46,1,3119199.41763916,3119201.78149527,3119202.1894446,moon,NaN
16,3,T,hall,47,2,3119202.53408917,3119203.02938039,3119203.48535659,alley,NaN
16,3,T,leopard,48,3,3119204.48393279,3119207.17315191,3119208.05306979,cigar,NaN
16,3,T,alley,49,4,3119208.41695729,3119209.12503871,3119213.79675565,alcohol,NaN
16,3,T,moon,50,5,3119214.16654331,3119214.8287141,3119215.36464996,spice,NaN
16,3,T,boat,51,6,3119215.84976356,3119218.46850156,3119218.90042675,brick,NaN
16,3,T,cigar,52,7,3119219.21620196,3119224.46813875,3119224.97206998,branch,NaN
16,3,T,animal,53,8,3119225.28239265,3119236.61945579,3119237.19538551,animal,NaN
16,3,T,alcohol,54,9,3119237.51482391,3119261.1139773,3119262.02591189,leopard,NaN
16,3,T,spice,55,10,3119262.27967454,NaN,3119289.48054156,,NaN
16,3,T,sail,56,11,0,0,0,,NaN
16,3,T,pork,57,12,0,0,0,,NaN
16,3,T,turtle,58,13,0,0,0,,NaN
16,3,T,brick,59,14,0,0,0,,NaN
16,3,T,page,60,15,0,0,0,,NaN
16,4,S,shirt,61,1,3119500.21210954,NaN,NaN,,NaN
16,4,S,wreck,62,2,3119504.22850214,NaN,NaN,,NaN
16,4,S,herd,63,3,3119508.24480721,NaN,NaN,,NaN
16,4,S,stain,64,4,3119512.26122818,NaN,NaN,,NaN
16,4,S,dame,65,5,3119516.27758517,NaN,NaN,,NaN
16,4,S,tomb,66,6,3119520.29398079,NaN,NaN,,NaN
16,4,S,collar,67,7,3119524.31032539,NaN,NaN,,NaN
16,4,S,lobster,68,8,3119528.32669898,NaN,NaN,,NaN
16,4,S,needle,69,9,3119532.34306351,NaN,NaN,,NaN
16,4,S,cord,70,10,3119536.35944464,NaN,NaN,,NaN
16,4,S,fuel,71,11,3119540.37583905,NaN,NaN,,NaN
16,4,S,horn,72,12,3119544.39218095,NaN,NaN,,NaN
16,4,S,elephant,73,13,3119548.40855121,NaN,NaN,,NaN
16,4,S,gift,74,14,3119552.42491997,NaN,NaN,,NaN
16,4,S,banana,75,15,3119556.44128993,NaN,NaN,,NaN
16,5,T,lightning,76,1,3119769.04223869,3119770.94009915,3119771.5000812,toilet,NaN
16,5,T,toilet,77,2,3119772.39202851,3119773.17202663,3119773.47595804,gown,NaN
16,5,T,gown,78,3,3119773.89190415,3119775.34788126,3119776.51579133,lightening,NaN
16,5,T,window,79,4,3119776.79168465,3119777.3157411,3119777.75570563,window,NaN
16,5,T,film,80,5,3119778.29157176,3119779.04365072,3119779.315627,gown,NaN
16,5,T,cotton,81,6,3119779.64147629,3119780.73954605,3119780.92353057,gun,NaN
16,5,T,store,82,7,3119781.25802289,3119781.65147279,3119782.17946077,maiden,NaN
16,5,T,corn,83,8,3119782.49124498,3119782.90741507,3119783.20337505,hotel,NaN
16,5,T,hotel,84,9,3119783.54119159,3119784.16332474,3119784.44331984,corn,NaN
16,5,T,gun,85,10,3119784.7410764,3119784.77130588,3119785.2672684,ranch,NaN
16,5,T,maiden,86,11,3119785.77433067,3119786.84321504,3119787.43513923,coast,NaN
16,5,T,coast,87,12,3119787.64087803,3119796.17865213,3119796.65858517,tower,NaN
16,5,T,foot,88,13,3119796.87354201,3119801.73032951,3119803.57017234,cloth,NaN
16,5,T,tower,89,14,3119803.92300778,NaN,3119859.12381171,,NaN
16,5,T,ranch,90,15,0,0,0,,NaN
16,6,S,quarter,91,1,3120067.95351073,NaN,NaN,,NaN
