subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
16,immediate,1,bee,fireplace,S,NA,97404.9565804939,NA,NA,NA,1
16,immediate,1,priest,drill,S,1,97409.4562720083,NA,NA,NA,1
16,immediate,1,swamp,trophy,S,NA,97413.9559487322,NA,NA,NA,1
16,immediate,1,lock,doll,S,1,97418.4556209285,NA,NA,NA,1
16,immediate,2,television,flood,S,1,97661.8215163005,NA,NA,NA,1
16,immediate,2,nest,apartment,S,NA,97666.321190006,NA,NA,NA,1
16,immediate,2,crane,picture,S,1,97670.8208332252,NA,NA,NA,1
16,immediate,2,flag,rain,S,NA,97675.3205446613,NA,NA,NA,1
16,immediate,3,medicine,screw,S,1,97902.720920398,NA,NA,NA,1
16,immediate,3,battle,brake,S,NA,97907.2205895758,NA,NA,NA,1
16,immediate,3,drain,fork,S,1,97911.7202750533,NA,NA,NA,1
16,immediate,3,station,anchor,S,NA,97916.2199182724,NA,NA,NA,1
16,immediate,4,orange,beam,S,NA,98488.1955533393,NA,NA,NA,1
16,immediate,4,guitar,aisle,S,1,98492.6952065194,NA,NA,NA,1
16,immediate,4,suitcase,bubble,S,1,98497.1948835452,NA,NA,NA,1
16,immediate,4,ear,bed,S,NA,98501.6945889444,NA,NA,NA,1
16,immediate,5,salmon,cave,S,NA,98682.4315886286,NA,NA,NA,1
16,immediate,5,thread,needle,S,1,98686.9312523733,NA,NA,NA,1
16,immediate,5,cart,land,S,NA,98691.4309164197,NA,NA,NA,1
16,immediate,5,morphine,gate,S,1,98695.9305840883,NA,NA,NA,1
16,immediate,6,store,basket,S,NA,98938.1631720052,NA,NA,NA,1
16,immediate,6,hockey,missile,S,1,98942.6628499365,NA,NA,NA,1
16,immediate,6,trash,dress,S,NA,98947.1625263586,NA,NA,NA,1
16,immediate,6,arrow,garden,S,1,98951.6621967438,NA,NA,NA,1
16,immediate,7,marble,factory,S,1,99478.0910597116,NA,NA,NA,1
16,immediate,7,piano,camera,S,NA,99482.5907162119,NA,NA,NA,1
16,immediate,7,ticket,tomato,S,1,99487.0903817676,NA,NA,NA,1
16,immediate,7,minister,shop,S,NA,99491.59006151,NA,NA,NA,1
16,immediate,8,gorilla,bread,S,NA,99716.7738812264,NA,NA,NA,1
16,immediate,8,tree,wedding,S,1,99721.2735594596,NA,NA,NA,1
16,immediate,8,cross,smile,S,1,99725.773237089,NA,NA,NA,1
16,immediate,8,canal,fly,S,NA,99730.2729120019,NA,NA,NA,1
16,immediate,9,net,chocolate,S,NA,99923.7256729485,NA,NA,NA,1
16,immediate,9,basement,wolf,S,1,99928.2253520872,NA,NA,NA,1
16,immediate,9,glass,ground,S,1,99932.7250161336,NA,NA,NA,1
16,immediate,9,ribbon,partner,S,NA,99937.2247130812,NA,NA,NA,1
16,immediate,10,club,vault,S,NA,100178.80734709,NA,NA,NA,1
16,immediate,10,bird,dentist,S,1,100183.307054904,NA,NA,NA,1
16,immediate,10,armor,bedroom,S,1,100187.806710499,NA,NA,NA,1
16,immediate,10,salt,tent,S,NA,100192.306377865,NA,NA,NA,1
16,immediate,1,bee,fireplace,S,NA,97447.8201447166,NA,NA,NA,2
16,immediate,1,priest,drill,S,1,97452.3198265719,NA,NA,NA,2
16,immediate,1,swamp,trophy,S,NA,97456.8194703947,NA,NA,NA,2
16,immediate,1,lock,doll,S,1,97461.3191981305,NA,NA,NA,2
16,immediate,2,television,flood,S,1,97712.3179101576,NA,NA,NA,2
16,immediate,2,nest,apartment,S,NA,97716.8175403974,NA,NA,NA,2
16,immediate,2,crane,picture,S,1,97721.3172630018,NA,NA,NA,2
16,immediate,2,flag,rain,S,NA,97725.8169303686,NA,NA,NA,2
16,immediate,3,medicine,screw,S,1,97957.2003089082,NA,NA,NA,2
16,immediate,3,battle,brake,S,NA,97961.700020948,NA,NA,NA,2
16,immediate,3,drain,fork,S,1,97966.1996744299,NA,NA,NA,2
16,immediate,3,station,anchor,S,NA,97970.6993517575,NA,NA,NA,2
16,immediate,4,orange,beam,S,NA,98525.6261733472,NA,NA,NA,2
16,immediate,4,guitar,aisle,S,1,98530.1258491656,NA,NA,NA,2
16,immediate,4,suitcase,bubble,S,1,98534.625524984,NA,NA,NA,2
16,immediate,4,ear,bed,S,NA,98539.1252041227,NA,NA,NA,2
16,immediate,5,salmon,cave,S,NA,98737.1776249503,NA,NA,NA,2
16,immediate,5,thread,needle,S,1,98741.6772983539,NA,NA,NA,2
16,immediate,5,cart,land,S,NA,98746.1770170343,NA,NA,NA,2
16,immediate,5,morphine,gate,S,1,98750.6766548203,NA,NA,NA,2
16,immediate,6,store,basket,S,NA,98986.2263804733,NA,NA,NA,2
16,immediate,6,hockey,missile,S,1,98990.7260599138,NA,NA,NA,2
16,immediate,6,trash,dress,S,NA,98995.2257393544,NA,NA,NA,2
16,immediate,6,arrow,garden,S,1,98999.7254212097,NA,NA,NA,2
16,immediate,7,marble,factory,S,1,99521.1379594912,NA,NA,NA,2
16,immediate,7,piano,camera,S,NA,99525.6376120675,NA,NA,NA,2
16,immediate,7,ticket,tomato,S,1,99530.1372906025,NA,NA,NA,2
16,immediate,7,minister,shop,S,NA,99534.6369700431,NA,NA,NA,2
16,immediate,8,gorilla,bread,S,NA,99761.8373233225,NA,NA,NA,2
16,immediate,8,tree,wedding,S,1,99766.3369828413,NA,NA,NA,2
16,immediate,8,cross,smile,S,1,99770.8366710354,NA,NA,NA,2
16,immediate,8,canal,fly,S,NA,99775.336336591,NA,NA,NA,2
16,immediate,9,net,chocolate,S,NA,99968.0058280244,NA,NA,NA,2
