sub_num,list,practice,target,study_order,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score
8,0,C,bourbon,1,NaN,NaN,NaN,NaN,,NaN
8,0,C,cereal,2,NaN,NaN,NaN,NaN,,NaN
8,0,C,planet,3,NaN,NaN,NaN,NaN,,NaN
8,0,C,turkey,4,NaN,NaN,NaN,NaN,,NaN
8,0,C,breakfast,5,NaN,NaN,NaN,NaN,,NaN
8,0,C,weed,6,NaN,NaN,NaN,NaN,,NaN
8,0,C,portrait,7,NaN,NaN,NaN,NaN,,NaN
8,0,C,bear,8,NaN,NaN,NaN,NaN,,NaN
8,0,C,garlic,9,NaN,NaN,NaN,NaN,,NaN
8,0,C,cheese,10,NaN,NaN,NaN,NaN,,NaN
8,0,C,thorn,11,NaN,NaN,NaN,NaN,,NaN
8,0,C,bullet,12,NaN,NaN,NaN,NaN,,NaN
8,0,C,storm,13,NaN,NaN,NaN,NaN,,NaN
8,0,C,radio,14,NaN,NaN,NaN,NaN,,NaN
8,0,C,king,15,NaN,NaN,NaN,NaN,,NaN
8,1,T,hotel,16,1,3035114.75548075,3035115.11665678,3035115.61257976,hotel,NaN
8,1,T,cloud,17,2,3035116.00541299,3035116.2925428,3035116.8364854,cloud,NaN
8,1,T,test,18,3,3035117.2886496,3035117.50851686,3035117.96443148,test,NaN
8,1,T,machine,19,4,3035118.2385071,3035118.44442459,3035119.09238813,machine,NaN
8,1,T,pile,20,5,3035119.40515062,3035119.70033879,3035120.316314,pile,NaN
8,1,T,lobster,21,6,3035120.97171833,3035121.9242221,3035122.58016673,copper,NaN
8,1,T,whale,22,7,3035123.22153888,3035123.32413028,3035124.06809564,whale,NaN
8,1,T,ankle,23,8,3035124.63808476,3035127.1318915,3035127.49989677,farm,NaN
8,1,T,lung,24,9,3035128.02117443,3035129.59576185,3035130.04369449,pile,NaN
8,1,T,frame,25,10,3035130.38768315,3035153.01041577,3035153.51435032,farm,NaN
8,1,T,farm,26,11,3035154.05259831,3035190.45621677,3035191.15214923,machine,NaN
8,1,T,pearl,27,12,3035191.46646773,NaN,3035204.76726388,,NaN
8,1,T,statue,28,13,0,0,0,,NaN
8,1,T,seed,29,14,0,0,0,,NaN
8,1,T,copper,30,15,0,0,0,,NaN
8,2,S,juice,31,1,3035413.63335726,NaN,NaN,,NaN
8,2,S,suit,32,2,3035417.6497565,NaN,NaN,,NaN
8,2,S,cross,33,3,3035421.66613431,NaN,NaN,,NaN
8,2,S,ribbon,34,4,3035425.68250729,NaN,NaN,,NaN
8,2,S,vice,35,5,3035429.69885069,NaN,NaN,,NaN
8,2,S,hospital,36,6,3035433.71525145,NaN,NaN,,NaN
8,2,S,poet,37,7,3035437.73161115,NaN,NaN,,NaN
8,2,S,guard,38,8,3035441.747979,NaN,NaN,,NaN
8,2,S,scout,39,9,3035445.76434715,NaN,NaN,,NaN
8,2,S,pants,40,10,3035449.78073854,NaN,NaN,,NaN
8,2,S,bee,41,11,3035453.79709341,NaN,NaN,,NaN
8,2,S,fireplace,42,12,3035457.81347787,NaN,NaN,,NaN
8,2,S,candy,43,13,3035461.82982549,NaN,NaN,,NaN
8,2,S,trophy,44,14,3035465.84619847,NaN,NaN,,NaN
8,2,S,floor,45,15,3035469.86257296,NaN,NaN,,NaN
8,3,T,cape,46,1,3035682.58017699,3035683.38735112,3035683.77930176,cape,NaN
8,3,T,newspaper,47,2,3035684.34675749,3035684.57126864,3035685.51515413,chocolate,NaN
8,3,T,sail,48,3,3035685.84661351,3035685.98714955,3035686.53113532,cookie,NaN
8,3,T,chocolate,49,4,3035686.77989126,3035686.89110336,3035688.05104472,newspaper,NaN
8,3,T,heel,50,5,3035688.913065,3035690.12293455,3035692.18680496,policeman,NaN
8,3,T,cookie,51,6,3035692.51252476,3035692.64277845,3035692.96277617,heel,NaN
8,3,T,corpse,52,7,3035694.07935114,3035709.22581632,3035710.4096949,butterfly,NaN
8,3,T,net,53,8,3035710.76145336,3035712.60961775,3035712.80160479,net,NaN
8,3,T,moose,54,9,3035713.0779536,3035716.36940794,3035717.00934693,metal,NaN
8,3,T,policeman,55,10,3035717.61093923,3035725.96883601,3035726.53673726,wallet,NaN
8,3,T,butterfly,56,11,3035726.74361039,NaN,3035772.64457714,,NaN
8,3,T,wallet,57,12,0,0,0,,NaN
8,3,T,metal,58,13,0,0,0,,NaN
8,3,T,factory,59,14,0,0,0,,NaN
8,3,T,ambassador,60,15,0,0,0,,NaN
8,4,S,officer,61,1,3035980.54155863,NaN,NaN,,NaN
8,4,S,tape,62,2,3035984.55793191,NaN,NaN,,NaN
8,4,S,nurse,63,3,3035988.57429644,NaN,NaN,,NaN
8,4,S,quarter,64,4,3035992.59067154,NaN,NaN,,NaN
8,4,S,skull,65,5,3035996.60703275,NaN,NaN,,NaN
8,4,S,telephone,66,6,3036000.6234169,NaN,NaN,,NaN
8,4,S,liquor,67,7,3036004.63979079,NaN,NaN,,NaN
8,4,S,admiral,68,8,3036008.65615531,NaN,NaN,,NaN
8,4,S,ridge,69,9,3036012.67248634,NaN,NaN,,NaN
8,4,S,banana,70,10,3036016.68888015,NaN,NaN,,NaN
8,4,S,toilet,71,11,3036020.7052649,NaN,NaN,,NaN
8,4,S,chest,72,12,3036024.72163336,NaN,NaN,,NaN
8,4,S,gold,73,13,3036028.73801298,NaN,NaN,,NaN
8,4,S,apple,74,14,3036032.7543763,NaN,NaN,,NaN
8,4,S,shoe,75,15,3036036.77076075,NaN,NaN,,NaN
8,5,T,brake,76,1,3036248.28846366,3036249.13019664,3036249.45013882,lamp,NaN
8,5,T,racket,77,2,3036249.93831313,3036250.34604514,3036250.78608633,sack,NaN
8,5,T,hat,78,3,3036251.27159686,3036253.65792111,3036254.29786101,button,NaN
8,5,T,hook,79,4,3036254.78799097,3036254.8738182,3036255.41778254,slave,NaN
8,5,T,seat,80,5,3036256.13790244,3036258.92161084,3036259.34554347,hook,NaN
8,5,T,court,81,6,3036260.08761324,3036276.75258636,3036277.52051701,mansion,NaN
8,5,T,axe,82,7,3036277.95296348,3036291.06372975,3036291.29571036,hat,NaN
8,5,T,sweat,83,8,3036291.53529867,3036297.74337676,3036298.18330688,brake,NaN
8,5,T,button,84,9,3036298.43477762,3036334.82117069,3036335.26113642,seat,NaN
8,5,T,collar,85,10,3036335.56539654,NaN,3036338.36572302,,NaN
8,5,T,music,86,11,0,0,0,,NaN
8,5,T,slave,87,12,0,0,0,,NaN
8,5,T,mansion,88,13,0,0,0,,NaN
8,5,T,lamp,89,14,0,0,0,,NaN
8,5,T,sack,90,15,0,0,0,,NaN
8,6,S,crown,91,1,3036546.96645113,NaN,NaN,,NaN
8,6,S,witch,92,2,3036550.98282683,NaN,NaN,,NaN
8,6,S,cotton,93,3,3036554.99921068,NaN,NaN,,NaN
8,6,S,squirrel,94,4,3036559.01557249,NaN,NaN,,NaN
8,6,S,cafe,95,5,3036563.03194275,NaN,NaN,,NaN
8,6,S,husband,96,6,3036567.04832117,NaN,NaN,,NaN
