sub_num,group,version,datetime,exp_onset,list,repeating,practice,cue,target,study_order,study_onset,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score,final_order,final_onset,final_FP,final_LP,final_resp,final_score
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,plate,sack,1,95060.9993000008,NaN,NaN,NaN,NaN,,NaN,4,95224.2252255679,95227.4895176707,95228.1695123943,sack,1
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,bow,platform,2,95065.0158068811,NaN,NaN,NaN,NaN,,NaN,25,95380.4349171305,95382.0930189948,95382.3010259108,tie,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,pillow,cereal,3,95069.03226305,NaN,NaN,NaN,NaN,,NaN,1,95201.3762403554,95207.266190462,95209.5460742241,cereal,1
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,sugar,chart,4,95073.048758158,NaN,NaN,NaN,NaN,,NaN,6,95237.9246240636,95246.5210100877,95247.2569748625,plate,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,gold,toast,5,95077.0652378714,NaN,NaN,NaN,NaN,,NaN,2,95209.9258737387,95215.9459286097,95216.6738767488,hall,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,chain,farm,6,95081.0817103404,NaN,NaN,NaN,NaN,,NaN,13,95288.4223594048,95291.7597067912,95292.1356757799,gold,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,moose,ticket,7,95085.098191865,NaN,NaN,NaN,NaN,,NaN,5,95229.8416561999,95236.8813038036,95237.6172130373,hall,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,ring,factory,8,95089.1146561839,NaN,NaN,NaN,NaN,,NaN,3,95216.9255543773,95222.3216992805,95223.6896404648,museum,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,beard,wind,9,95093.1311555178,NaN,NaN,NaN,NaN,,NaN,7,95247.5075190296,95253.9208022914,95255.2327094315,windmill,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,briefcase,corpse,10,95097.1476590778,NaN,NaN,NaN,NaN,,NaN,24,95373.5352147283,95376.9731772628,95380.0210694019,corpse,1
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,bone,partner,11,95101.1641249059,NaN,NaN,NaN,NaN,,NaN,9,95263.7734625751,95269.1763650814,95270.2323070603,corpse,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,nest,menu,12,95105.1806335974,NaN,NaN,NaN,NaN,,NaN,23,95370.5853574901,95372.5733183493,95373.3252557231,bird,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,axe,mechanic,13,95109.1971271961,NaN,NaN,NaN,NaN,,NaN,20,95342.4199177086,95350.6699589871,95351.373929362,cave,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,cherry,copper,14,95113.2135933261,NaN,NaN,NaN,NaN,,NaN,22,95361.6690911572,95369.6534029046,95370.3813658345,house,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,hook,nurse,15,95117.23013009,NaN,NaN,NaN,NaN,,NaN,21,95351.6195382179,95361.4536710112,95361.653596393,l,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,marble,shower,16,95121.2465385659,NaN,NaN,NaN,NaN,,NaN,16,95310.3547051929,95316.8869463585,95317.430903983,cave,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,candle,hall,17,95125.263076839,NaN,NaN,NaN,NaN,,NaN,14,95293.5554624839,95302.623378705,95303.4472976681,thunder,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,wine,thunder,18,95129.2795333097,NaN,NaN,NaN,NaN,,NaN,10,95271.456413052,95273.9122580151,95275.528151649,thunder,1
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,camera,trash,19,95133.2960136269,NaN,NaN,NaN,NaN,,NaN,17,95318.0876828216,95323.9427374104,95324.206686909,ring,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,hand,belly,20,95137.3125005848,NaN,NaN,NaN,NaN,,NaN,11,95275.7729270863,95282.5199801622,95283.1119075023,house,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,peanut,boss,21,95141.3289715445,NaN,NaN,NaN,NaN,,NaN,15,95303.6550039377,95309.1031655116,95310.0791325081,pillow,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,shell,hardware,22,95145.3454403912,NaN,NaN,NaN,NaN,,NaN,8,95255.4904944699,95262.9125324002,95263.424499247,light,0
76,immediate,pilot4,2015-03-10-1559m58s,94902.2474537869,1,N,C,potato,ceiling,23,95149.3619210103,NaN,NaN,NaN,NaN,,NaN,18,95324.5707414226,NaN,95334.5716264582,,0
