subject,group,list,cue,target,practice,test,onset
11,immediate,1,goat,skull,T,NA,29841.9697874226
11,immediate,1,trash,briefcase,S,NA,29846.469449658
11,immediate,1,brat,forest,,1,29850.9691647162
11,immediate,1,bowl,wire,,NA,29855.4687940505
11,immediate,1,blade,thread,,1,29859.9685012608
11,immediate,1,cloud,bite,S,1,29864.4681807014
11,immediate,1,cannon,rice,,NA,29868.9678305611
11,immediate,1,plane,lightning,,NA,29873.4675063795
11,immediate,1,lobster,tea,T,1,29877.967219023
11,immediate,1,whip,balloon,,1,29882.4668939359
11,immediate,1,thunder,skull,,1,29886.9665745838
11,immediate,1,bus,briefcase,,1,29891.4662446672
11,immediate,1,boot,forest,S,NA,29895.9659002619
11,immediate,1,spider,wire,,1,29900.4655987187
11,immediate,1,pork,thread,,NA,29904.9652585393
11,immediate,1,fence,bite,,NA,29909.4649352633
11,immediate,1,pound,rice,S,1,29913.964614402
11,immediate,1,dough,lightning,T,1,29918.4643216123
11,immediate,1,ditch,tea,,NA,29922.9639726794
11,immediate,1,frog,balloon,T,NA,29927.4636798897
11,immediate,2,plug,chapel,S,1,30037.4224146518
11,immediate,2,bell,pool,T,1,30041.9221686481
11,immediate,2,feast,cigar,S,NA,30046.421857144
11,immediate,2,pie,automobile,,NA,30050.9215100222
11,immediate,2,rifle,finger,,NA,30055.4211852369
11,immediate,2,record,cave,,1,30059.9208643756
11,immediate,2,ankle,shepherd,,NA,30064.4205302331
11,immediate,2,shore,pipe,,1,30068.9202169179
11,immediate,2,circus,bread,T,NA,30073.4198993769
11,immediate,2,shop,spring,,1,30077.9195779119
11,immediate,2,bubble,chapel,,NA,30082.4192585599
11,immediate,2,hardware,pool,,NA,30086.9189358875
11,immediate,2,brain,cigar,,1,30091.4185993303
11,immediate,2,statue,automobile,,1,30095.9182775634
11,immediate,2,helmet,finger,S,1,30100.4180185804
11,immediate,2,glass,cave,S,NA,30104.9175890549
11,immediate,2,cafe,shepherd,T,1,30109.4173225257
11,immediate,2,cheek,pipe,,NA,30113.9170698814
11,immediate,2,farm,bread,,1,30118.4166980082
11,immediate,2,mayor,spring,T,NA,30122.9163665824
11,immediate,3,sword,bush,T,NA,30225.975681551
11,immediate,3,shovel,blood,,1,30230.4753335237
11,immediate,3,jury,library,,NA,30234.9749857982
11,immediate,3,brass,tent,T,1,30239.4747262114
11,immediate,3,skin,tree,S,1,30243.9743863339
11,immediate,3,lung,umbrella,,1,30248.4740201958
11,immediate,3,swamp,fork,,NA,30252.9737536667
11,immediate,3,shed,church,S,NA,30257.4734068467
11,immediate,3,cup,book,,NA,30261.9730721005
11,immediate,3,river,pump,,1,30266.472732223
11,immediate,3,nurse,bush,,1,30270.972428265
11,immediate,3,babe,blood,,NA,30275.4720856709
11,immediate,3,missile,library,,1,30279.9717786944
11,immediate,3,building,tent,,NA,30284.4714705106
11,immediate,3,sweat,tree,,NA,30288.971150253
11,immediate,3,toothbrush,umbrella,T,NA,30293.470819129
11,immediate,3,basement,fork,T,1,30297.9705058138
11,immediate,3,novel,church,,1,30302.4701562773
11,immediate,3,janitor,book,S,1,30306.9698323975
11,immediate,3,hound,pump,S,NA,30311.4695094233
11,immediate,4,reed,hospital,,NA,30739.1055881179
11,immediate,4,pumpkin,robin,,1,30743.6052835563
11,immediate,4,beach,aunt,,1,30748.1049044389
11,immediate,4,ocean,lieutenant,T,NA,30752.6045923311
11,immediate,4,potato,cell,T,1,30757.1042835436
11,immediate,4,quarter,strawberry,,NA,30761.6039234424
11,immediate,4,partner,hand,,1,30766.1036158623
11,immediate,4,priest,bottle,,NA,30770.6032762866
11,immediate,4,racket,dust,S,NA,30775.1029668954
11,immediate,4,key,wing,S,1,30779.6026294327
11,immediate,4,butterfly,hospital,,1,30784.10230344
11,immediate,4,magician,robin,S,NA,30788.6019813713
11,immediate,4,net,aunt,T,NA,30793.1016577934
11,immediate,4,photograph,lieutenant,,1,30797.6013423653
11,immediate,4,basket,cell,,NA,30802.1010199948
11,immediate,4,clock,strawberry,S,1,30806.6006921911
11,immediate,4,fruit,hand,,NA,30811.1003707261
11,immediate,4,smoke,bottle,T,1,30815.6000504685
11,immediate,4,peanut,dust,,1,30820.0997431902
11,immediate,4,beard,wing,,NA,30824.5994159902
11,immediate,5,pen,port,S,1,30932.7916695593
11,immediate,5,hood,medal,,NA,30937.2913269652
11,immediate,5,ambulance,menu,,1,30941.7910045947
11,immediate,5,hat,dame,,NA,30946.2907112013
11,immediate,5,drill,tower,T,NA,30950.7903477798
11,immediate,5,hotel,chocolate,S,NA,30955.2900374831
11,immediate,5,bed,cook,,1,30959.789702737
11,immediate,5,anchor,chart,,NA,30964.289390931
11,immediate,5,weed,paint,,1,30968.7890589014
11,immediate,5,button,cow,T,1,30973.2887350217
11,immediate,5,brick,port,,NA,30977.7884099346
11,immediate,5,marble,medal,S,1,30982.2880981286
11,immediate,5,physician,menu,S,NA,30986.7877657972
11,immediate,5,axe,dame,T,1,30991.2874551986
11,immediate,5,branch,tower,,1,30995.7871307152
11,immediate,5,brush,chocolate,,1,31000.2868074392
11,immediate,5,vodka,cook,T,NA,31004.7864877852
11,immediate,5,factory,chart,,1,31009.286160887
11,immediate,5,spot,paint,,NA,31013.7858388184
11,immediate,5,audience,cow,,NA,31018.2855152405
11,immediate,6,poet,cereal,,1,31117.5783912745
11,immediate,6,saddle,golf,S,1,31122.0780676966
11,immediate,6,officer,tiger,,NA,31126.5777743032
11,immediate,6,toe,crown,,1,31131.0774223519
11,immediate,6,ant,wreck,,NA,31135.5770990758
11,immediate,6,storm,tail,,1,31140.0767963252
11,immediate,6,barn,pencil,T,1,31144.5764775768
11,immediate,6,television,muscle,S,NA,31149.076120796
11,immediate,6,flesh,squirrel,,NA,31153.5758271007
11,immediate,6,pile,milk,T,NA,31158.075491449
11,immediate,6,breakfast,cereal,,NA,31162.5751530807
11,immediate,6,piano,golf,,NA,31167.0748295028
11,immediate,6,banner,tiger,,1,31171.5745068305
11,immediate,6,mule,crown,S,NA,31176.0741844599
11,immediate,6,gravy,wreck,T,1,31180.5738611839
11,immediate,6,aspirin,tail,T,NA,31185.0735379078
11,immediate,6,poster,pencil,,NA,31189.5732261019
11,immediate,6,tide,muscle,,1,31194.0728922612
11,immediate,6,shoulder,squirrel,S,1,31198.5725701926
11,immediate,6,dirt,milk,,1,31203.0722484257
11,immediate,7,gown,elbow,S,1,31641.9407592852
11,immediate,7,island,shirt,T,NA,31646.4404329907
11,immediate,7,coast,plate,,1,31650.9401094128
