sub_num,group,version,datetime,exp_onset,list,repeating,practice,cue,target,study_order,study_onset,prac_order,prac_onset,prac_FP,prac_LP,prac_resp,prac_score,final_order,final_onset,final_FP,final_LP,final_resp,final_score
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,cigar,portrait,1,3463086.32145868,NaN,NaN,NaN,NaN,,NaN,11,3463274.82581539,3463280.17995743,3463281.65184508,portrait,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,desk,circle,2,3463090.33784172,NaN,NaN,NaN,NaN,,NaN,6,3463254.37715394,NaN,3463256.2248505,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,salmon,light,3,3463094.35427063,NaN,NaN,NaN,NaN,,NaN,18,3463304.24056072,NaN,3463314.24149162,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,coffin,prison,4,3463098.37066665,NaN,NaN,NaN,NaN,,NaN,10,3463268.92619937,3463273.58027932,3463274.48421175,prison,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,diamond,lock,5,3463102.38707836,NaN,NaN,NaN,NaN,,NaN,15,3463292.4913622,3463297.90697595,3463298.59494334,desk,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,television,belly,6,3463106.4034786,NaN,NaN,NaN,NaN,,NaN,7,3463256.24369872,NaN,3463260.07294218,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,cherry,bird,7,3463110.41987402,NaN,NaN,NaN,NaN,,NaN,12,3463281.8920294,3463284.52372923,3463284.95569251,car,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,ant,sweat,8,3463114.43629116,NaN,NaN,NaN,NaN,,NaN,24,3463336.78844374,NaN,3463337.82870165,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,toilet,missile,9,3463118.45269593,NaN,NaN,NaN,NaN,,NaN,25,3463337.83837704,3463341.42473164,3463341.90468614,missle,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,football,toast,10,3463122.46907172,NaN,NaN,NaN,NaN,,NaN,17,3463301.60738788,NaN,3463304.23041595,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,shovel,hospital,11,3463126.48553052,NaN,NaN,NaN,NaN,,NaN,21,3463325.80581864,3463326.95347605,3463328.00139966,hospital,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,wheat,date,12,3463130.50188277,NaN,NaN,NaN,NaN,,NaN,4,3463246.99430264,NaN,3463250.19381673,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,button,bedroom,13,3463134.51829508,NaN,NaN,NaN,NaN,,NaN,14,3463289.05822987,NaN,3463292.47927414,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,castle,cart,14,3463138.53470499,NaN,NaN,NaN,NaN,,NaN,3,3463242.46126717,3463246.42974682,3463246.70970217,cake,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,grass,hood,15,3463142.55108712,NaN,NaN,NaN,NaN,,NaN,22,3463328.28900713,NaN,3463335.34077144,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,medal,mechanic,16,3463146.56751151,NaN,NaN,NaN,NaN,,NaN,2,3463236.22831872,3463241.23002868,3463242.1739528,museum,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,foot,cottage,17,3463150.58389847,NaN,NaN,NaN,NaN,,NaN,23,3463335.35519851,NaN,3463336.77272235,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,mirror,racket,18,3463154.60030052,NaN,NaN,NaN,NaN,,NaN,1,3463226.41228951,3463234.84638504,3463235.35027811,cigar,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,window,palm,19,3463158.61672913,NaN,NaN,NaN,NaN,,NaN,20,3463322.63936885,3463325.06558376,3463325.50556168,wash,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,drill,swamp,20,3463162.63314145,NaN,NaN,NaN,NaN,,NaN,19,3463314.25656796,3463321.63372703,3463322.32170076,swamp,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,ski,soup,21,3463166.64956071,NaN,NaN,NaN,NaN,,NaN,8,3463260.09344603,NaN,3463265.94497605,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,guitar,wall,22,3463170.66596397,NaN,NaN,NaN,NaN,,NaN,16,3463298.94091983,3463301.06685574,3463301.35480219,wall,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,book,ditch,23,3463174.68232286,NaN,NaN,NaN,NaN,,NaN,9,3463265.95973485,NaN,3463268.92001151,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,cloud,thread,24,3463178.69875117,NaN,NaN,NaN,NaN,,NaN,5,3463250.21075728,NaN,3463254.36883927,,0
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,1,N,C,toothbrush,powder,25,3463182.71513119,NaN,NaN,NaN,NaN,,NaN,13,3463285.19177957,3463287.93953254,3463288.8194603,powder,1
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,T,milk,cross,26,3463362.12015343,11,3463586.05553679,3463592.23547279,3463592.67541117,moon,NaN,44,3463709.31415248,3463713.40503764,3463714.04501381,moon,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,S,pipe,boss,27,3463367.13647791,1,3463528.54261941,NaN,NaN,,NaN,34,3463675.64967782,3463679.22285439,3463679.5268464,bowl,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,C,camel,kiss,28,3463372.15279152,NaN,NaN,NaN,NaN,,NaN,29,3463659.8340392,NaN,3463661.21945529,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,C,cake,giant,29,3463377.16913049,NaN,NaN,NaN,NaN,,NaN,42,3463702.01466764,3463703.59756639,3463704.18154062,carrot,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,T,butterfly,giant,30,3463382.18548032,13,3463596.77150379,NaN,3463602.82286514,,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,C,soap,spice,31,3463387.20180993,NaN,NaN,NaN,NaN,,NaN,40,3463697.16497527,NaN,3463700.4179102,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,C,chicken,cabinet,32,3463392.21817275,NaN,NaN,NaN,NaN,,NaN,33,3463671.8165822,3463673.93514761,3463674.91107322,cabinet,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,T,bear,lane,33,3463397.23453224,9,3463577.70608031,3463578.83614639,3463581.036039,alley,NaN,26,3463643.86840506,3463645.72063687,3463646.21656209,alley,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,T,ring,cabinet,34,3463402.25083076,7,3463568.09002218,3463571.78855059,3463572.33248514,garden,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,C,peanut,fireplace,35,3463407.26718784,NaN,NaN,NaN,NaN,,NaN,45,3463714.53048668,3463717.35683724,3463717.66880435,toad,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,T,lightning,fireplace,36,3463412.28350809,6,3463563.65697437,3463567.40476326,3463567.86069288,frog,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,S,bowl,shoulder,37,3463417.29985852,4,3463543.59161639,NaN,NaN,,NaN,31,3463665.71700867,3463667.16747245,3463667.93541324,alley,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,S,frog,ground,38,3463422.31621228,3,3463538.57530459,NaN,NaN,,NaN,30,3463661.23396929,NaN,3463665.69948617,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,S,bee,alley,39,3463427.3325274,2,3463533.55893694,NaN,NaN,,NaN,27,3463646.55156554,NaN,3463650.90037305,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,T,net,weed,40,3463432.34891648,12,3463593.23842485,3463596.06722037,3463596.53918288,weed,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,C,cheese,guard,41,3463437.36520262,NaN,NaN,NaN,NaN,,NaN,32,3463669.40009792,NaN,3463671.80363689,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,T,shoe,jeep,42,3463442.38155909,14,3463602.83778059,NaN,3463606.55887386,,NaN,39,3463694.43178519,NaN,3463697.15387727,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,T,barrel,toad,43,3463447.39789806,10,3463581.48916808,3463585.57183124,3463585.81977634,toad,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,T,cannon,cellar,44,3463452.41422918,15,3463606.57087921,NaN,3463607.91885906,,NaN,36,3463685.21573322,NaN,3463686.4987001,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,C,badge,garden,45,3463457.43058082,NaN,NaN,NaN,NaN,,NaN,41,3463700.43140004,NaN,3463701.9939368,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,S,nail,music,46,3463462.44692824,5,3463548.60796713,NaN,NaN,,NaN,38,3463690.11538033,NaN,3463694.42586115,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,C,chair,gravy,47,3463467.46329588,NaN,NaN,NaN,NaN,,NaN,35,3463679.79944122,NaN,3463685.20277071,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,N,T,spoon,pump,48,3463472.47958233,8,3463572.60640658,3463576.99623054,3463577.39621738,pump,NaN,37,3463686.51563732,3463689.3742864,3463689.7902358,pump,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,C,sheep,weed,49,3463477.49592311,NaN,NaN,NaN,NaN,,NaN,43,3463704.39781596,NaN,3463709.29699128,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,2,R,C,spider,toad,50,3463482.51228713,NaN,NaN,NaN,NaN,,NaN,28,3463650.91798189,3463659.37592331,3463659.63187852,toad,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,S,camera,leather,51,3463737.89561625,30,3463972.1469689,NaN,NaN,,NaN,57,3464053.97500799,3464055.05098102,3464055.54695031,leather,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,T,fork,leopard,52,3463742.91197272,21,3463923.03324842,3463924.72984893,3463926.63373307,leopard,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,C,cage,essay,53,3463747.92828422,NaN,NaN,NaN,NaN,,NaN,53,3464036.59277155,NaN,3464041.70380891,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,C,star,leopard,54,3463752.94466514,NaN,NaN,NaN,NaN,,NaN,49,3464028.90994854,NaN,3464030.30363553,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,T,pencil,fuel,55,3463757.9609857,24,3463931.84964649,3463934.44938799,3463935.00130669,cake,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,T,owl,scout,56,3463762.97730082,19,3463918.73381611,3463920.13010261,3463920.89803766,scout,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,C,paper,fuel,57,3463767.99362409,NaN,NaN,NaN,NaN,,NaN,47,3464024.09359454,NaN,3464026.68060384,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,T,pumpkin,boot,58,3463773.00997453,25,3463935.31606226,3463941.39297192,3463941.80895755,boot,NaN,58,3464055.92483623,3464057.59485037,3464057.97078817,boot,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,T,wheel,ribbon,59,3463778.02632044,17,3463912.08423306,3463914.42639481,3463914.93039353,rubber,NaN,64,3464076.59016752,3464078.25774969,3464078.75373558,rubber,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,S,candle,army,60,3463783.04267872,27,3463957.09795653,NaN,NaN,,NaN,55,3464043.85898805,3464047.50736763,3464047.8913584,army,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,C,pearl,tunnel,61,3463788.05900048,NaN,NaN,NaN,NaN,,NaN,60,3464061.05784199,3464066.29837857,3464066.69835907,crane,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,C,strawberry,king,62,3463793.07536511,NaN,NaN,NaN,NaN,,NaN,65,3464078.99000887,3464083.16151912,3464083.32946939,pie,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,T,plate,copper,63,3463798.09169773,23,3463929.68309498,3463931.40148973,3463931.56949192,pie,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,T,crane,jelly,64,3463803.10802795,22,3463926.84994864,3463928.52967773,3463929.10560382,castle,NaN,48,3464026.69343021,3464028.02840559,3464028.67633935,castle,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,C,nest,branch,65,3463808.12437023,NaN,NaN,NaN,NaN,,NaN,50,3464030.30984935,NaN,3464032.02369377,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,C,lamp,scout,66,3463813.14070618,NaN,NaN,NaN,NaN,,NaN,62,3464069.84060709,3464070.83414274,3464071.53010786,copper,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,S,hammer,willow,67,3463818.15705239,28,3463962.11431391,NaN,NaN,,NaN,61,3464066.94079336,3464068.6822649,3464068.97021557,iron,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,T,wire,radio,68,3463823.1733651,18,3463915.184055,3463918.27415929,3463918.47417203,owl,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,C,worm,thorn,69,3463828.18973003,NaN,NaN,NaN,NaN,,NaN,51,3464032.04307957,NaN,3464034.18370124,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,T,cane,hill,70,3463833.20602885,20,3463921.13365746,3463922.51399316,3463922.77796905,cake,NaN,63,3464071.72379872,3464075.8818792,3464076.3858589,copper,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,T,pie,golf,71,3463838.22240826,16,3463906.66790816,3463911.53055127,3463911.85856335,pear,NaN,46,3464020.44382918,3464023.50069168,3464023.86857893,tart,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,S,fence,hockey,72,3463843.23874632,29,3463967.1306248,NaN,NaN,,NaN,54,3464041.70911085,3464042.69162909,3464043.52358857,hockey,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,C,bullet,copper,73,3463848.2550705,NaN,NaN,NaN,NaN,,NaN,56,3464048.22534976,3464051.48319211,3464053.65104851,honeymoon,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,R,C,cave,radio,74,3463853.27140131,NaN,NaN,NaN,NaN,,NaN,59,3464058.20802194,3464060.33067859,3464060.83463958,castle,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,3,N,S,iron,honeymoon,75,3463858.2877919,26,3463952.0816082,NaN,NaN,,NaN,52,3464034.19294228,3464035.76400833,3464036.36391072,hammer,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,T,tape,laundry,76,3464103.62172923,39,3464323.94066175,3464326.65263954,3464327.26857482,laundry,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,T,bottle,flesh,77,3464108.6380694,45,3464350.48892358,NaN,3464355.24739514,,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,C,clown,laundry,78,3464113.65438573,NaN,NaN,NaN,NaN,,NaN,74,3464437.74988492,3464441.25457215,3464441.95851388,cabinet,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,C,scar,flesh,79,3464118.67077058,NaN,NaN,NaN,NaN,,NaN,85,3464480.53042782,3464482.37240227,3464482.80436464,flesh,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,S,train,land,80,3464123.687086,32,3464277.46034231,NaN,NaN,,NaN,71,3464431.28363154,NaN,3464433.45125914,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,T,ball,pony,81,3464128.70342678,36,3464307.55838577,3464309.2375984,3464310.03746854,balloon,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,C,whistle,detective,82,3464133.7197428,NaN,NaN,NaN,NaN,,NaN,69,3464418.00120075,3464422.87155151,3464423.89541129,detector,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,T,cat,pork,83,3464138.73610592,41,3464333.45666189,3464334.97220866,3464335.25214077,pork,NaN,80,3464465.21477938,3464468.79710734,3464470.58101281,pork,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,C,brick,hurricane,84,3464143.75242104,NaN,NaN,NaN,NaN,,NaN,84,3464477.86393833,NaN,3464480.52080464,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,S,witch,dial,85,3464148.76877812,33,3464282.47671026,NaN,NaN,,NaN,70,3464425.28401821,NaN,3464431.27523658,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,T,gold,sting,86,3464153.78511527,43,3464339.98960289,3464343.80369545,3464346.50753606,scar,NaN,67,3464402.30216252,3464411.91211369,3464412.3999971,s,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,C,screw,beach,87,3464158.80143371,NaN,NaN,NaN,NaN,,NaN,83,3464476.41401064,NaN,3464477.84875755,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,C,spring,pony,88,3464163.81780286,NaN,NaN,NaN,NaN,,NaN,73,3464435.83332594,NaN,3464437.73832177,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,C,turtle,shore,89,3464168.83406878,NaN,NaN,NaN,NaN,,NaN,77,3464448.58252808,3464450.2781002,3464450.71005926,shore,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,T,hook,shore,90,3464173.85047114,44,3464346.97248002,3464349.8594052,3464350.20338074,shore,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,C,neck,sail,91,3464178.86681614,NaN,NaN,NaN,NaN,,NaN,82,3464474.66413055,NaN,3464476.40872108,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,C,arrow,cord,92,3464183.8831367,NaN,NaN,NaN,NaN,,NaN,68,3464412.41821054,NaN,3464417.98810603,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,S,rice,forest,93,3464188.89950887,35,3464292.50936555,NaN,NaN,,NaN,78,3464450.99896708,NaN,3464457.32955783,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,T,newspaper,dame,94,3464193.91580195,37,3464310.34154598,3464317.82908982,3464320.38497057,f,NaN,79,3464457.34864662,NaN,3464465.19368482,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,S,whale,cream,95,3464198.93215993,31,3464272.44402357,NaN,NaN,,NaN,72,3464433.46683594,3464435.1668926,3464435.57484336,cream,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,T,shrimp,feast,96,3464203.94847747,42,3464335.55657258,3464339.32396099,3464339.77191189,feast,NaN,75,3464442.18292972,3464444.31841999,3464444.81434249,feast,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,S,squirrel,planet,97,3464208.96483425,34,3464287.49302266,NaN,NaN,,NaN,66,3464398.53578016,3464401.44068182,3464402.0645937,planet,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,R,T,table,cord,98,3464213.98116627,38,3464320.39088616,3464323.36479362,3464323.67677159,turn,NaN,NaN,NaN,NaN,NaN,,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,C,elbow,dough,99,3464218.99750765,NaN,NaN,NaN,NaN,,NaN,81,3464470.91441014,3464473.86083988,3464474.43675178,turner,NaN
53,immediate,pilot4,2015-03-04-1507m34s,3462934.9610832,4,N,T,apple,roof,100,3464224.01385175,40,3464327.75710932,3464332.5803252,3464333.18025415,worm,NaN,76,3464445.03273106,NaN,3464448.56245044,,NaN
