sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,sweat,1,2764432.86975975
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,sheep,2,2764436.88616241
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,partner,3,2764440.90256567
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,mole,4,2764444.91898583
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,hill,5,2764448.9353734
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,straw,6,2764452.95177545
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,mate,7,2764456.96820527
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,meat,8,2764460.98457714
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,ocean,9,2764465.00098976
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,orange,10,2764469.01740207
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,morgue,11,2764473.03379326
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,colonel,12,2764477.05019923
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,bush,13,2764481.0666028
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,horse,14,2764485.0829976
1,pilot1,2015-02-24-1300m52s,2764164.49366258,0,C,root,15,2764489.09941294
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,ribbon,16,2764645.63923242
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,port,17,2764649.65563266
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,monk,18,2764653.67206097
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,laundry,19,2764657.68847238
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,cart,20,2764661.70486357
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,fly,21,2764665.72126954
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,steel,22,2764669.73768095
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,sword,23,2764673.7540821
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,anchor,24,2764677.77048627
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,cream,25,2764681.78689345
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,stain,26,2764685.80329822
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,lane,27,2764689.81970178
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,stove,28,2764693.83611017
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,sand,29,2764697.85251917
1,pilot1,2015-02-24-1300m52s,2764164.49366258,1,S,lion,30,2764701.86894688
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,telephone,31,2764919.42151274
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,ball,32,2764923.43790121
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,shoulder,33,2764927.45431172
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,automobile,34,2764931.47071769
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,clock,35,2764935.48711793
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,reed,36,2764939.50352814
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,portrait,37,2764943.51993804
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,clay,38,2764947.53633435
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,bucket,39,2764951.55274908
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,bridge,40,2764955.56914872
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,city,41,2764959.5855556
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,candy,42,2764963.60197486
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,jewel,43,2764967.61836907
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,powder,44,2764971.63473218
1,pilot1,2015-02-24-1300m52s,2764164.49366258,2,T,carpet,45,2764975.65117861
1,pilot1,2015-02-24-1300m52s,2764164.49366258,3,S,beach,46,2765218.4187608
1,pilot1,2015-02-24-1300m52s,2764164.49366258,3,S,button,47,2765222.43516859
1,pilot1,2015-02-24-1300m52s,2764164.49366258,3,S,organ,48,2765226.45160385
1,pilot1,2015-02-24-1300m52s,2764164.49366258,3,S,trophy,49,2765230.4680053
1,pilot1,2015-02-24-1300m52s,2764164.49366258,3,S,sack,50,2765234.48438924
1,pilot1,2015-02-24-1300m52s,2764164.49366258,3,S,racket,51,2765238.50079642
