subject,group,list,cue,target,practice,test,onset
65,delay,1,key,partner,,NaN,184652.282572304
65,delay,1,lung,fruit,,1,184656.782225787
65,delay,1,toilet,golf,S,1,184661.281879571
65,delay,1,mistress,bone,S,NaN,184665.78152913
65,delay,1,banner,bat,,1,184670.281177784
65,delay,1,king,surf,T,1,184674.780830965
65,delay,1,arrow,cellar,,NaN,184679.280500446
65,delay,1,muscle,photograph,,NaN,184683.780147892
65,delay,1,costume,park,,1,184688.27978749
65,delay,1,elephant,lamp,T,NaN,184692.779443689
65,delay,1,feast,partner,S,1,184697.279093852
65,delay,1,bullet,fruit,S,NaN,184701.778745825
65,delay,1,bow,golf,,NaN,184706.278399308
65,delay,1,spoon,bone,,1,184710.778052791
65,delay,1,slave,bat,T,NaN,184715.277709595
65,delay,1,banana,surf,,NaN,184719.777362172
65,delay,1,basket,cellar,,1,184724.277011429
65,delay,1,flesh,photograph,T,1,184728.776678193
65,delay,1,cigarette,park,,NaN,184733.276319904
65,delay,1,elbow,lamp,,1,184737.775969161
65,delay,2,patch,brass,S,1,184824.63595332
65,delay,2,cloth,dove,,1,184829.135611935
65,delay,2,ambulance,medicine,,1,184833.635262097
65,delay,2,tree,sponge,S,NaN,184838.13493852
65,delay,2,cheek,spaghetti,T,1,184842.634571478
65,delay,2,garden,chapel,,NaN,184847.134223753
65,delay,2,lobster,circle,,1,184851.63388267
65,delay,2,necklace,gold,,NaN,184856.133538869
65,delay,2,toast,cross,,NaN,184860.633190541
65,delay,2,owl,square,T,NaN,184865.132844326
65,delay,2,hook,brass,,NaN,184869.632521352
65,delay,2,boat,dove,S,NaN,184874.132156725
65,delay,2,hostage,medicine,,NaN,184878.631810509
65,delay,2,island,sponge,,1,184883.131464898
65,delay,2,husband,spaghetti,,NaN,184887.631118683
65,delay,2,whale,chapel,,1,184892.130773373
65,delay,2,copper,circle,T,NaN,184896.630427761
65,delay,2,lemon,gold,S,1,184901.130107807
65,delay,2,shed,cross,T,1,184905.629748008
65,delay,2,hardware,square,,1,184910.12939304
65,delay,3,wood,breakfast,T,NaN,185013.538123821
65,delay,3,ranch,fence,,1,185018.037777606
65,delay,3,city,jail,T,1,185022.537442861
65,delay,3,shirt,leather,,NaN,185027.037086081
65,delay,3,chair,fountain,S,1,185031.536746506
65,delay,3,shepherd,detective,,1,185036.036419609
65,delay,3,apartment,skin,,NaN,185040.536075809
65,delay,3,boot,ferry,S,NaN,185045.035707559
65,delay,3,swamp,salad,,NaN,185049.535363457
65,delay,3,cane,canal,,1,185054.035023882
65,delay,3,dough,breakfast,,1,185058.534674045
65,delay,3,table,fence,,NaN,185063.034328131
65,delay,3,earth,jail,,NaN,185067.533984934
65,delay,3,bread,leather,T,1,185072.033638417
65,delay,3,menu,fountain,,NaN,185076.53329522
65,delay,3,soil,detective,S,NaN,185081.032949005
65,delay,3,hair,skin,S,1,185085.532607318
65,delay,3,journal,ferry,,1,185090.032262612
65,delay,3,leaf,salad,,1,185094.531912774
65,delay,3,cow,canal,T,NaN,185099.031577727
65,delay,4,cake,blouse,,NaN,185182.775163237
65,delay,4,suit,aunt,,1,185187.274819135
65,delay,4,pepper,passage,T,1,185191.774483484
65,delay,4,needle,neck,,1,185196.274128817
65,delay,4,wing,vest,S,1,185200.773785017
65,delay,4,mustard,cell,,NaN,185205.273439707
65,delay,4,envelope,nail,,NaN,185209.773094398
65,delay,4,jelly,choir,,1,185214.272748182
65,delay,4,camp,ear,T,NaN,185218.772408909
65,delay,4,carpet,brain,S,NaN,185223.272062392
65,delay,4,deer,blouse,T,1,185227.771719497
65,delay,4,cocktail,aunt,S,NaN,185232.271374791
65,delay,4,book,passage,,NaN,185236.771027973
65,delay,4,screw,neck,T,NaN,185241.270684776
65,delay,4,tunnel,vest,,NaN,185245.770339466
65,delay,4,magazine,cell,,1,185250.269992647
65,delay,4,toe,nail,S,1,185254.76965096
65,delay,4,lightning,choir,,NaN,185259.269307159
65,delay,4,pen,ear,,1,185263.768960642
65,delay,4,thunder,brain,,1,185268.268617747
65,delay,5,vault,ribbon,,NaN,185369.010897781
65,delay,5,cave,football,,1,185373.510552471
65,delay,5,planet,metal,S,NaN,185378.010209275
65,delay,5,pearl,tooth,,NaN,185382.509864569
65,delay,5,automobile,stain,,1,185387.009521674
65,delay,5,monk,guitar,T,1,185391.509179684
65,delay,5,jeep,steam,,1,185396.00883196
65,delay,5,lieutenant,quarter,S,1,185400.508494196
65,delay,5,rain,coal,T,NaN,185405.008144057
65,delay,5,tank,scratch,,NaN,185409.507831648
65,delay,5,bubble,ribbon,T,1,185414.007457663
65,delay,5,tower,football,S,NaN,185418.507110543
65,delay,5,shark,metal,,1,185423.006767648
65,delay,5,suitcase,tooth,S,1,185427.506396681
65,delay,5,prince,stain,T,NaN,185432.006079141
65,delay,5,shore,guitar,,NaN,185436.505736548
65,delay,5,tent,steam,,NaN,185441.005391842
65,delay,5,brat,quarter,,NaN,185445.50507732
65,delay,5,helmet,coal,,1,185450.004704241
65,delay,5,strawberry,scratch,,1,185454.504357422
