subject,group,list,cue,target,practice,test,onset
60,delay,1,slave,aunt,,1,179175.272526327
60,delay,1,maiden,mustard,,NaN,179179.772176791
60,delay,1,star,pen,,NaN,179184.271838424
60,delay,1,thumb,hurricane,,1,179188.771489794
60,delay,1,button,helmet,T,NaN,179193.27112909
60,delay,1,bone,king,,NaN,179197.770794949
60,delay,1,tide,needle,S,1,179202.27045145
60,delay,1,aisle,willow,S,NaN,179206.770113385
60,delay,1,laundry,rope,,1,179211.269758114
60,delay,1,meat,lemon,T,1,179215.769412503
60,delay,1,choir,aunt,S,NaN,179220.269065986
60,delay,1,film,mustard,T,1,179224.768717356
60,delay,1,bolt,pen,,1,179229.268369631
60,delay,1,mistress,hurricane,T,NaN,179233.768024925
60,delay,1,hotel,helmet,,1,179238.267679314
60,delay,1,bottle,king,S,1,179242.767341852
60,delay,1,axe,needle,,NaN,179247.266998353
60,delay,1,hostage,willow,,1,179251.766653345
60,delay,1,bullet,rope,,NaN,179256.266291132
60,delay,1,deer,lemon,,NaN,179260.765946426
60,delay,2,apple,piano,T,1,179362.958110673
60,delay,2,wire,photograph,,NaN,179367.457767174
60,delay,2,child,hill,,1,179371.957421563
60,delay,2,whistle,whip,,1,179376.45707746
60,delay,2,vault,bear,,NaN,179380.956729132
60,delay,2,crowd,judge,S,1,179385.456383823
60,delay,2,window,duck,T,NaN,179389.956040626
60,delay,2,pepper,clown,,NaN,179394.455717954
60,delay,2,arrow,belly,S,NaN,179398.955352723
60,delay,2,dough,pie,,1,179403.455007715
60,delay,2,pork,piano,,NaN,179407.954663311
60,delay,2,reed,photograph,S,1,179412.454332188
60,delay,2,table,hill,T,NaN,179416.953972993
60,delay,2,dollar,whip,,NaN,179421.453618327
60,delay,2,battle,bear,,1,179425.953282676
60,delay,2,ankle,judge,,NaN,179430.452935555
60,delay,2,mate,duck,,1,179434.952594471
60,delay,2,magazine,clown,T,1,179439.452241314
60,delay,2,spoon,belly,,1,179443.951904154
60,delay,2,river,pie,S,NaN,179448.451558844
60,delay,3,book,key,,NaN,179557.676527512
60,delay,3,chest,bite,T,1,179562.176182505
60,delay,3,hand,ambulance,,1,179566.675838402
60,delay,3,spaghetti,land,T,NaN,179571.175493998
60,delay,3,planet,hair,S,1,179575.675159555
60,delay,3,finger,admiral,S,NaN,179580.174805492
60,delay,3,bird,policeman,,1,179584.674461993
60,delay,3,deck,diamond,,1,179589.174117287
60,delay,3,artist,racket,,NaN,179593.673782542
60,delay,3,carriage,bow,,NaN,179598.173434214
60,delay,3,ribbon,key,,1,179602.673087395
60,delay,3,nail,bite,,NaN,179607.172742085
60,delay,3,coffin,ambulance,S,NaN,179611.67239919
60,delay,3,barrel,land,,1,179616.172053277
60,delay,3,palm,hair,,NaN,179620.671704949
60,delay,3,army,admiral,,1,179625.171363563
60,delay,3,jewel,policeman,,NaN,179629.671022479
60,delay,3,building,diamond,T,NaN,179634.170678075
60,delay,3,lock,racket,S,1,179638.670335784
60,delay,3,scar,bow,T,1,179643.169987455
60,delay,4,beef,umbrella,T,NaN,179740.812550257
60,delay,4,lunch,path,,1,179745.312186233
60,delay,4,tomb,ticket,T,1,179749.811827038
60,delay,4,statue,tower,,1,179754.311481427
60,delay,4,coast,road,,1,179758.811142154
60,delay,4,smoke,quarter,,NaN,179763.310801674
60,delay,4,doll,knee,,NaN,179767.810453346
60,delay,4,forest,pier,S,1,179772.310107432
60,delay,4,breast,highway,S,NaN,179776.809766952
60,delay,4,restaurant,breakfast,,NaN,179781.309426774
60,delay,4,rabbit,umbrella,,1,179785.809077238
60,delay,4,lung,path,S,NaN,179790.308763019
60,delay,4,fuel,ticket,,NaN,179794.808387524
