subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress,round
47,immediate,1,racket,butcher,T,NaN,1359.65360939194,butcher,1361.14452056283,1363.64834613555,1
47,immediate,1,television,fly,T,1,1364.53625570787,fly,1365.81624181097,1366.07220866607,1
47,immediate,1,bank,needle,T,NaN,1366.18614064488,needle,1367.24811951096,1367.87210652201,1
47,immediate,1,package,cave,T,1,1368.30263678973,cave,1369.38401759389,1369.72793579654,1
47,immediate,2,scar,basket,T,NaN,1573.07048966365,basket,1574.36340737369,1574.93934562604,1
47,immediate,2,coffee,chart,T,1,1575.65328732424,chart,1576.65123780248,1577.13120319907,1
47,immediate,2,ridge,stove,T,NaN,1577.30316984649,stove,1578.46711257096,1578.94705834768,1
47,immediate,2,nest,drug,T,1,1579.08636485472,drugs,1581.26692862714,1581.73890360547,1
47,immediate,3,vice,wedding,T,1,1747.54011357792,weddings,1749.60860110934,1750.8245069074,1
47,immediate,3,umbrella,stomach,T,NaN,1751.07315132534,stomach,1752.23239916594,1753.16834089554,1
47,immediate,3,cocktail,janitor,T,NaN,1753.43964656465,janitory,1754.8002401472,1755.89618010195,1
47,immediate,3,date,ground,T,1,1756.1227799363,ground,1758.12806522731,1758.69598559358,1
47,immediate,4,table,station,T,1,2272.3668185144,station,2273.72038154308,2274.43224413879,1
47,immediate,4,cherry,spray,T,NaN,2274.71635403662,spray,2276.06414520152,2276.4641146549,1
47,immediate,4,poison,liquor,T,1,2276.78286086675,liquor,2277.67205086195,2278.59197915585,1
47,immediate,4,breast,carriage,T,NaN,2278.84937011163,carriage,2279.85591952594,2280.69582923831,1
47,immediate,5,witch,palm,T,NaN,2447.25341989419,gate,2453.85318421428,2454.20513630074,1
47,immediate,5,rope,hook,T,1,2454.33589850551,hook,2455.94110054791,2456.37300299912,1
47,immediate,5,roof,photograph,T,1,2456.61910468196,photograph,2457.66098404814,2458.98892141427,1
47,immediate,5,tunnel,gate,T,NaN,2459.26887914402,,NaN,NaN,1
47,immediate,6,tape,ferry,T,1,2675.88593370054,fery,2678.0313911876,2678.51933432499,1
47,immediate,6,seed,worm,T,NaN,2678.86873613026,worm,2680.01525671241,2680.30322508397,1
47,immediate,6,ocean,wall,T,NaN,2680.51862861338,wall,2681.45519395298,2681.77514814511,1
47,immediate,6,flag,ambulance,T,1,2682.15181009898,ambulance,2683.56702328547,2684.56694359861,1
47,immediate,7,slave,market,T,1,3156.06585243202,market,3157.03388140181,3157.61786681912,1
47,immediate,7,partner,hill,T,NaN,3157.76538529802,hill,3158.90574403375,3159.37770391987,1
47,immediate,7,lemon,porch,T,NaN,3159.7485662403,,NaN,NaN,1
47,immediate,7,corner,poster,T,1,3167.7812852403,porch,3171.70498507683,3173.36084200028,1
47,immediate,8,passage,potato,T,NaN,3394.06425537464,,NaN,NaN,1
47,immediate,8,necklace,boss,T,1,3402.09667796369,boss,3403.48270191562,3403.92263221377,1
47,immediate,8,spark,poet,T,1,3404.06319046849,,NaN,NaN,1
47,immediate,8,meal,orange,T,NaN,3412.09591007218,orange,3413.1860778613,3414.68195436841,1
47,immediate,9,tank,shovel,T,1,3588.91600371631,shovel,3592.34306338003,3592.87903354334,1
47,immediate,9,spoon,key,T,NaN,3593.19869072083,key,3594.37490944676,3594.64686589185,1
47,immediate,9,garden,gorilla,T,1,3594.89857946108,gorilla,3595.97480627643,3596.77472103564,1
47,immediate,9,shed,branch,T,NaN,3596.93175515127,branch,3598.21468815878,3598.7426253438,1
47,immediate,10,lock,dust,T,NaN,3805.34943017862,dust,3807.79380482999,3808.22572448632,1
47,immediate,10,castle,tobacco,T,1,3808.38223097839,tobacco,3809.54569256328,3810.32161825891,1
47,immediate,10,gravy,monk,T,NaN,3810.56539543998,monk,3811.49757558781,3811.95347313949,1
47,immediate,10,shop,blade,T,1,3812.21526920876,blade,3815.95329837173,3816.48121171107,1
47,immediate,1,racket,butcher,T,NaN,1394.06763089773,butcher,1395.1504243325,1395.94232995912,2
47,immediate,1,television,fly,T,1,1397.40038388539,fly,1398.40622728623,1398.64618613883,2
47,immediate,1,bank,needle,T,NaN,1398.83361113056,needle,1399.62218862361,1400.31804351868,2
47,immediate,1,package,cave,T,1,1400.48347795693,cave,1401.38204202395,1401.71800542595,2
47,immediate,2,scar,basket,T,NaN,1605.93462599095,basket,1607.21735585735,1607.93733775877,2
47,immediate,2,coffee,chart,T,1,1608.41746735857,chart,1609.16921322512,1609.71316626059,2
47,immediate,2,ridge,stove,T,NaN,1609.85068373736,stove,1610.6891436923,1611.12909300663,2
47,immediate,2,nest,drug,T,1,1611.26724737456,drugs,1612.5610340939,1613.18495711398,2
47,immediate,3,vice,wedding,T,1,1782.90436762444,wedding,1783.69450716095,1784.38240876459,2
47,immediate,3,umbrella,stomach,T,NaN,1784.58723929721,stomach,1785.54243445756,1786.10234810599,2
47,immediate,3,cocktail,janitor,T,NaN,1786.35376345319,janitor,1787.31828107003,1788.49413788482,2
47,immediate,3,date,ground,T,1,1789.08688281927,ground,1789.9741038851,1790.55804432762,2
47,immediate,4,table,station,T,1,2304.96435462099,station,2305.98232098831,2307.07821566644,2
47,immediate,4,cherry,spray,T,NaN,2307.31385301639,spray,2308.07815620314,2308.47814527638,2
47,immediate,4,poison,liquor,T,1,2308.74707694128,liquor,2309.51005110825,2310.3420129624,2
47,immediate,4,breast,carriage,T,NaN,2310.68026283381,carraige,2311.45398174688,2319.80546144726,2
47,immediate,5,witch,palm,T,NaN,2491.35008155829,gate,2494.85070124432,2495.64260596541,2
47,immediate,5,rope,hook,T,1,2495.79941581084,hook,2496.73055731296,2497.14649613277,2
47,immediate,5,roof,photograph,T,1,2497.34929676351,photograph,2498.18648897303,2500.09034557533,2
47,immediate,5,tunnel,gate,T,NaN,2500.44904297295,door,2505.1300383825,2505.58598845507,2
47,immediate,6,tape,ferry,T,1,2708.71675669671,ferry,2709.54942396063,2710.02142942522,2
47,immediate,6,seed,worm,T,NaN,2710.28330306843,worm,2711.07734786451,2711.35732793073,2
47,immediate,6,ocean,wall,T,NaN,2711.5828873083,wall,2712.37326077402,2712.72526387215,2
47,immediate,6,flag,ambulance,T,1,2712.93280888919,ambulance,2714.55714000256,2715.50904898568,2
47,immediate,7,slave,market,T,1,3197.69598498989,market,3198.64733314659,3199.1672467105,2
47,immediate,7,partner,hill,T,NaN,3199.31220434366,hill,3200.23919428138,3200.71117620212,2
47,immediate,7,lemon,porch,T,NaN,3200.9287469725,porcj,3208.20670347555,3210.25457293883,2
47,immediate,7,corner,poster,T,1,3210.57800467738,porch,3211.78252280131,3212.31842142755,2
47,immediate,8,passage,potato,T,NaN,3438.89417766788,potato,3439.58447078269,3440.1683919072,2
47,immediate,8,necklace,boss,T,1,3441.22701004054,boss,3442.15230904736,3442.57624552969,2
47,immediate,8,spark,poet,T,1,3442.74356287172,,NaN,NaN,2
47,immediate,8,meal,orange,T,NaN,3450.77628851229,orange,3451.67977777027,3452.21566734119,2
47,immediate,9,tank,shovel,T,1,3623.08004091799,shovel,3624.47709546244,3624.97300155027,2
47,immediate,9,spoon,key,T,NaN,3625.22959292091,key,3626.04497206131,3626.31695054103,2
47,immediate,9,garden,gorilla,T,1,3626.47949240681,gorilla,3627.284882317,3629.14875453068,2
47,immediate,9,shed,branch,T,NaN,3629.27927948595,branch,3630.19673537444,3630.66865843558,2
47,immediate,10,lock,dust,T,NaN,3841.34667615262,dust,3843.19158440408,3843.63155394196,2
47,immediate,10,castle,tobacco,T,1,3843.84617931716,tobacco,3844.82349844611,3845.45544508731,2
47,immediate,10,gravy,monk,T,NaN,3845.69604113291,monk,3846.47937257468,3846.91934120704,2
47,immediate,10,shop,blade,T,1,3847.14592806209,blade,3848.61531291579,3849.55916869707,2
