sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,mole,1,3379685.0873931
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,candy,2,3379689.10370128
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,cellar,3,3379693.11998621
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,cannon,4,3379697.13628413
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,pigeon,5,3379701.15257902
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,record,6,3379705.1688377
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,needle,7,3379709.18515856
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,tomato,8,3379713.20145798
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,peanut,9,3379717.2177571
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,poison,10,3379721.23406196
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,road,11,3379725.25034086
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,circus,12,3379729.26663968
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,floor,13,3379733.28293971
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,dove,14,3379737.29922253
31,pilot1,2015-03-03-1559m48s,3379633.01294983,0,C,hawk,15,3379741.31548906
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,bench,16,3379907.05056628
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,store,17,3379911.06686902
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,marble,18,3379915.08317509
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,prisoner,19,3379919.09957382
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,truck,20,3379923.1158005
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,rocket,21,3379927.13205405
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,boot,22,3379931.14840267
31,pilot1,2015-03-03-1559m48s,3379633.01294983,1,S,breast,23,3379935.16471749
