sub_num,version,datetime,exp_onset,list,practice,target,study_order,study_onset
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,hook,1,2598424.55667132
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,cream,2,2598428.573211
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,gate,3,2598432.58969272
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,metal,4,2598436.60624175
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,library,5,2598440.62275063
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,cabin,6,2598444.63924594
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,patch,7,2598448.65579225
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,pump,8,2598452.67230084
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,salmon,9,2598456.68880278
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,rifle,10,2598460.70533098
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,gold,11,2598464.72183715
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,animal,12,2598468.7383563
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,elbow,13,2598472.75487515
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,deck,14,2598476.77141241
14,pilot1,2015-02-25-1343m36s,2598346.36619655,0,C,cane,15,2598480.78792069
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,city,16,2598634.59931472
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,corpse,17,2598638.61583991
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,salt,18,2598642.63239558
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,carpet,19,2598646.64893043
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,pudding,20,2598650.66545652
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,market,21,2598654.68200133
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,church,22,2598658.69853859
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,umbrella,23,2598662.71507072
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,toast,24,2598666.73160707
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,path,25,2598670.74812924
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,store,26,2598674.76469457
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,willow,27,2598678.78119893
14,pilot1,2015-02-25-1343m36s,2598346.36619655,1,T,spoon,28,2598682.79769121
